Joueur	Année	Pays	Poste	Position	Taille	Poids	IMC
Canale	2003	Italie	Ailier	Arrière	180	85	26.235
Castrogiovanni	2003	Italie	1ère ligne	Avant	193	102	27.383
Checchinato	2003	Italie	3e ligne	Avant	198	110	28.058
Dallan	2003	Italie	Centre	Arrière	185	85	24.836
De Rossi	2003	Italie	3e ligne	Avant	182	102	30.793
Dellape	2003	Italie	2e ligne	Avant	200	118	29.500
Lo Cicero	2003	Italie	1ère ligne	Avant	185	118	34.478
Martinez	2003	Italie	1ère ligne	Avant	182	115	34.718
Mazzantini	2003	Italie	Demi	Arrière	177	81	25.855
Mazzariol	2003	Italie	Ailier	Arrière	172	76	25.690
Mazzucato	2003	Italie	Ailier	Arrière	187	94	26.881
Mirco	2003	Italie	Arrière	Arrière	180	86	26.543
Ongaro	2003	Italie	1ère ligne	Avant	182	99	29.888
Palmer	2003	Italie	3e ligne	Avant	190	100	27.701
Parisse	2003	Italie	3e ligne	Avant	190	95	26.316
Peens	2003	Italie	Demi	Arrière	182	92	27.774
Persico	2003	Italie	3e ligne	Avant	185	103	30.095
Perugini	2003	Italie	1ère ligne	Avant	182	103	31.095
Phillips	2003	Italie	3e ligne	Avant	193	114	30.605
Wakarua	2003	Italie	Demi	Arrière	177	86	27.451
Zullo	2003	Italie	Demi	Arrière	172	75	25.352
Masi	2003	Italie	Arrière	Arrière	185	92	26.881
Stoica	2003	Italie	Centre	Arrière	187	94	26.881
Troncon	2003	Italie	Demi	Arrière	177	84	26.812
Festuccia	2003	Italie	1ère ligne	Avant	182	93	28.076
Perugini	2007	Italie	1ère ligne	Avant	180	111	34.259
Castrogiovanni	2007	Italie	1ère ligne	Avant	188	117	33.103
Lo Cicero	2007	Italie	1ère ligne	Avant	185	113	33.017
Aguero	2007	Italie	1ère ligne	Avant	185	111	32.432
Festuccia	2007	Italie	1ère ligne	Avant	182	105	31.699
Vosawai	2007	Italie	3e ligne	Avant	188	112	31.689
Ongaro	2007	Italie	1ère ligne	Avant	183	104	31.055
Barbieri	2007	Italie	3e ligne	Avant	185	105	30.679
Canale	2007	Italie	Centre	Arrière	180	95	29.321
Bergamasco Ma.	2007	Italie	3e ligne	Avant	183	98	29.263
Ghiraldini	2007	Italie	1ère ligne	Avant	184	99	29.241
Parisse	2007	Italie	3e ligne	Avant	196	112	29.155
Dellapè	2007	Italie	2e ligne	Avant	200	116	29.000
Masi	2007	Italie	Centre	Arrière	183	97	28.965
Bortolami	2007	Italie	2e ligne	Avant	196	111	28.894
Bernabo	2007	Italie	2e ligne	Avant	198	113	28.824
Sole	2007	Italie	3e ligne	Avant	196	110	28.634
Bergamasco Mi.	2007	Italie	Centre	Arrière	180	92	28.395
Del Fava	2007	Italie	2e ligne	Avant	198	109	27.803
Canavosio	2007	Italie	Ailier	Arrière	175	85	27.755
Pratichetti	2007	Italie	Centre	Arrière	190	100	27.701
Pez	2007	Italie	Demi	Arrière	178	87	27.459
De Marigny	2007	Italie	Arrière	Arrière	182	89	26.869
Troncon	2007	Italie	Demi	Arrière	177	84	26.812
Griffen	2007	Italie	Demi	Arrière	177	83	26.493
Galon	2007	Italie	Ailier	Arrière	187	92	26.309
Zanini	2007	Italie	3e ligne	Avant	194	99	26.305
Bortolussi	2007	Italie	Arrière	Arrière	188	91	25.747
Stanojevic	2007	Italie	Ailier	Arrière	180	82	25.309
Robertson	2007	Italie	Ailier	Arrière	178	76	23.987
Barbieri	2011	Italie	3e ligne	Avant	185	107	31.264
Benvenuti	2011	Italie	Ailier	Arrière	186	95	27.460
Bergamosco Ma.	2011	Italie	3e ligne	Avant	186	98	28.327
Bortolami	2011	Italie	2e ligne	Avant	195	112	29.454
Canale	2011	Italie	Centre	Arrière	183	93	27.770
Canavosio	2011	Italie	Demi	Arrière	179	82	25.592
Castrogiovanni	2011	Italie	1ère ligne	Avant	187	118	33.744
D'Apice	2011	Italie	1ère ligne	Avant	183	103	30.756
Gori	2011	Italie	Demi	Arrière	176	81	26.149
Lo Cicero	2011	Italie	1ère ligne	Avant	184	112	33.081
Masi	2011	Italie	Centre	Arrière	186	92	26.593
Ongaro	2011	Italie	1ère ligne	Avant	182	103	31.095
Orquera	2011	Italie	Demi	Arrière	170	78	26.990
Parisse	2011	Italie	3e ligne	Avant	195	105	27.613
Perugini	2011	Italie	1ère ligne	Avant	182	118	35.624
Semenzato	2011	Italie	Demi	Arrière	177	85	27.131
Sgarbi	2011	Italie	Ailier	Arrière	191	100	27.412
Toniolatti	2011	Italie	Ailier	Arrière	183	84	25.083
Van Zyl	2011	Italie	2e ligne	Avant	199	109	27.525
Zanni	2011	Italie	3e ligne	Avant	191	106	29.056
McLean	2011	Italie	Arrière	Arrière	191	96	26.315
Pratichetti	2011	Italie	Centre	Arrière	190	96	26.593
Bocchino	2011	Italie	Demi	Arrière	179	81	25.280
Bergamasco Mi.	2011	Italie	Ailier	Arrière	180	86	26.543
Cittadini	2011	Italie	1ère ligne	Avant	189	123	34.434
Del Fava	2011	Italie	2e ligne	Avant	198	110	28.058
Garcia	2011	Italie	Centre	Arrière	185	95	27.757
Geldenhuys	2011	Italie	2e ligne	Avant	201	121	29.950
Ghiraldini	2011	Italie	1ère ligne	Avant	178	102	32.193
Derbyshire	2011	Italie	3e ligne	Avant	189	100	27.995
Bachop	1995	Nouvelle-Zélande	Demi	Arrière	177	82	26.174
Brewer	1995	Nouvelle-Zélande	3e ligne	Avant	195	97	25.510
Brooke R.	1995	Nouvelle-Zélande	2e ligne	Avant	196	101	26.291
Brooke Z.	1995	Nouvelle-Zélande	3e ligne	Avant	196	99	25.771
Brown	1995	Nouvelle-Zélande	1ère ligne	Avant	185	100	29.218
Bunce	1995	Nouvelle-Zélande	Centre	Arrière	183	94	28.069
Culhane	1995	Nouvelle-Zélande	Demi	Arrière	175	75	24.490
Dowd	1995	Nouvelle-Zélande	1ère ligne	Avant	191	114	31.249
Ellis	1995	Nouvelle-Zélande	Centre	Arrière	178	87	27.459
Fitzpatrick	1995	Nouvelle-Zélande	1ère ligne	Avant	183	105	31.354
Henderson	1995	Nouvelle-Zélande	3e ligne	Avant	190	94	26.039
Hewitt	1995	Nouvelle-Zélande	1ère ligne	Avant	178	108	34.087
Ieremia	1995	Nouvelle-Zélande	Centre	Arrière	188	97	27.445
Jones	1995	Nouvelle-Zélande	2e ligne	Avant	198	104	26.528
Joseph	1995	Nouvelle-Zélande	3e ligne	Avant	196	110	28.634
Kronfeld	1995	Nouvelle-Zélande	3e ligne	Avant	185	94	27.465
Larsen	1995	Nouvelle-Zélande	2e ligne	Avant	198	107	27.293
Little	1995	Nouvelle-Zélande	Centre	Arrière	178	76	23.987
Loe	1995	Nouvelle-Zélande	1ère ligne	Avant	187	110	31.456
Lomu	1995	Nouvelle-Zélande	Ailier	Arrière	194	118	31.353
Mehrtens	1995	Nouvelle-Zélande	Demi	Arrière	178	77	24.302
Osborne	1995	Nouvelle-Zélande	Arrière	Arrière	185	76	22.206
Rush	1995	Nouvelle-Zélande	Ailier	Arrière	183	90	26.874
Schuler	1995	Nouvelle-Zélande	3e ligne	Avant	189	100	27.995
Strachan	1995	Nouvelle-Zélande	Demi	Arrière	175	82	26.776
Wilson	1995	Nouvelle-Zélande	Arrière	Arrière	181	91	27.777
Alatini	1999	Nouvelle-Zélande	Centre	Arrière	179	90	28.089
Blowers	1999	Nouvelle-Zélande	3e ligne	Avant	193	109	29.263
Brooke	1999	Nouvelle-Zélande	2e ligne	Avant	198	108	27.548
Brown	1999	Nouvelle-Zélande	Demi	Arrière	179	80	24.968
Cullen	1999	Nouvelle-Zélande	Ailier	Arrière	180	86	26.543
Dowd	1999	Nouvelle-Zélande	1ère ligne	Avant	189	115	32.194
Duggan	1999	Nouvelle-Zélande	Demi	Arrière	175	75	24.490
Feek	1999	Nouvelle-Zélande	1ère ligne	Avant	185	112	32.725
Gibson	1999	Nouvelle-Zélande	Centre	Arrière	181	97	29.608
Hammett	1999	Nouvelle-Zélande	1ère ligne	Avant	182	103	31.095
Hoeft	1999	Nouvelle-Zélande	1ère ligne	Avant	184	114	33.672
Ieremia	1999	Nouvelle-Zélande	Centre	Arrière	187	101	28.883
Jones	1999	Nouvelle-Zélande	2e ligne	Avant	198	103	26.273
Kelleher	1999	Nouvelle-Zélande	Demi	Arrière	175	89	29.061
Kronfeld	1999	Nouvelle-Zélande	3e ligne	Avant	184	102	30.128
Lomu	1999	Nouvelle-Zélande	Ailier	Arrière	196	118	30.716
Marshall	1999	Nouvelle-Zélande	Demi	Arrière	179	94	29.337
Maxwell	1999	Nouvelle-Zélande	2e ligne	Avant	198	100	25.508
Meeuws	1999	Nouvelle-Zélande	1ère ligne	Avant	182	117	35.322
Mehrtens	1999	Nouvelle-Zélande	Demi	Arrière	177	83	26.493
Mika	1999	Nouvelle-Zélande	3e ligne	Avant	194	108	28.696
Oliver	1999	Nouvelle-Zélande	1ère ligne	Avant	185	113	33.017
Osborne	1999	Nouvelle-Zélande	Arrière	Arrière	182	89	26.869
Randelll	1999	Nouvelle-Zélande	3e ligne	Avant	187	108	30.884
Robertson	1999	Nouvelle-Zélande	3e ligne	Avant	190	108	29.917
Spencer	1999	Nouvelle-Zélande	Demi	Arrière	184	85	25.106
Thorne	1999	Nouvelle-Zélande	2e ligne	Avant	192	104	28.212
Umaga	1999	Nouvelle-Zélande	Ailier	Arrière	187	101	28.883
Willis	1999	Nouvelle-Zélande	2e ligne	Avant	198	120	30.609
Wilson	1999	Nouvelle-Zélande	Arrière	Arrière	180	91	28.086
Blair	2003	Nouvelle-Zélande	Arrière	Arrière	174	83	27.414
Carter	2003	Nouvelle-Zélande	Centre	Arrière	180	91	28.086
Collins	2003	Nouvelle-Zélande	3e ligne	Avant	190	103	28.532
Devine	2003	Nouvelle-Zélande	Demi	Arrière	175	80	26.122
Hammett	2003	Nouvelle-Zélande	1ère ligne	Avant	185	107	31.264
Hewett	2003	Nouvelle-Zélande	1ère ligne	Avant	191	116	31.797
Hoeft	2003	Nouvelle-Zélande	1ère ligne	Avant	184	115	33.967
Howlett	2003	Nouvelle-Zélande	Ailier	Arrière	185	92	26.881
Jack	2003	Nouvelle-Zélande	2e ligne	Avant	202	112	27.448
Kelleher	2003	Nouvelle-Zélande	Demi	Arrière	175	94	30.694
Marshall	2003	Nouvelle-Zélande	Demi	Arrière	179	94	29.337
Mauger	2003	Nouvelle-Zélande	Centre	Arrière	181	93	28.387
McDonald	2003	Nouvelle-Zélande	Arrière	Arrière	181	96	29.303
Mealamu	2003	Nouvelle-Zélande	1ère ligne	Avant	181	98	29.914
Meeuws	2003	Nouvelle-Zélande	1ère ligne	Avant	183	121	36.131
Muliaina	2003	Nouvelle-Zélande	Arrière	Arrière	183	84	25.083
Ralph	2003	Nouvelle-Zélande	Ailier	Arrière	187	93	26.595
Rokocoko	2003	Nouvelle-Zélande	Ailier	Arrière	189	99	27.715
So'oialo	2003	Nouvelle-Zélande	3e ligne	Avant	190	105	29.086
Umaga	2003	Nouvelle-Zélande	Centre	Arrière	187	101	28.883
Braid	2003	Nouvelle-Zélande	3e ligne	Avant	186	94	27.171
Nonu	2003	Nouvelle-Zélande	Centre	Arrière	182	100	30.190
Spencer	2003	Nouvelle-Zélande	Demi	Arrière	184	95	28.060
Williams	2003	Nouvelle-Zélande	2e ligne	Avant	202	106	25.978
Flynn	2003	Nouvelle-Zélande	1ère ligne	Avant	184	106	31.309
Holah	2003	Nouvelle-Zélande	3e ligne	Avant	184	98	28.946
McCaw	2003	Nouvelle-Zélande	3e ligne	Avant	188	105	29.708
Somerville	2003	Nouvelle-Zélande	1ère ligne	Avant	187	115	32.886
Thorn	2003	Nouvelle-Zélande	2e ligne	Avant	195	113	29.717
Thorne	2003	Nouvelle-Zélande	3e ligne	Avant	192	107	29.026
Tialata	2007	Nouvelle-Zélande	1ère ligne	Avant	187	127	36.318
Woodcock	2007	Nouvelle-Zélande	1ère ligne	Avant	184	118	34.853
Hore	2007	Nouvelle-Zélande	1ère ligne	Avant	183	110	32.847
Oliver	2007	Nouvelle-Zélande	1ère ligne	Avant	184	111	32.786
Somerville	2007	Nouvelle-Zélande	1ère ligne	Avant	188	115	32.537
Mealamu	2007	Nouvelle-Zélande	1ère ligne	Avant	181	106	32.356
Lauaki	2007	Nouvelle-Zélande	3e ligne	Avant	192	119	32.281
Hayman	2007	Nouvelle-Zélande	1ère ligne	Avant	193	120	32.216
Masoe	2007	Nouvelle-Zélande	3e ligne	Avant	183	106	31.652
Kelleher	2007	Nouvelle-Zélande	Demi	Arrière	175	94	30.694
McCaw	2007	Nouvelle-Zélande	3e ligne	Avant	187	106	30.313
Collins	2007	Nouvelle-Zélande	3e ligne	Avant	190	109	30.194
So'oailo	2007	Nouvelle-Zélande	3e ligne	Avant	190	107	29.640
Robinson	2007	Nouvelle-Zélande	2e ligne	Avant	198	115	29.334
McAlister	2007	Nouvelle-Zélande	Centre	Arrière	180	95	29.321
Toeva	2007	Nouvelle-Zélande	Centre	Arrière	181	96	29.303
MacDonald	2007	Nouvelle-Zélande	Arrière	Arrière	181	96	29.303
Thorne	2007	Nouvelle-Zélande	3e ligne	Avant	192	107	29.026
Carter	2007	Nouvelle-Zélande	Demi	Arrière	179	91	28.401
Sivivatu	2007	Nouvelle-Zélande	Ailier	Arrière	185	97	28.342
Jack	2007	Nouvelle-Zélande	2e ligne	Avant	202	115	28.184
Williams	2007	Nouvelle-Zélande	2e ligne	Avant	202	115	28.184
Leonard	2007	Nouvelle-Zélande	Demi	Arrière	182	91	27.473
Mauger	2007	Nouvelle-Zélande	Centre	Arrière	183	92	27.472
Smith	2007	Nouvelle-Zélande	Centre	Arrière	186	95	27.460
Rokocoko	2007	Nouvelle-Zélande	Ailier	Arrière	189	98	27.435
Muliaina	2007	Nouvelle-Zélande	Arrière	Arrière	184	92	27.174
Ellis	2007	Nouvelle-Zélande	Demi	Arrière	181	89	27.166
Howlett	2007	Nouvelle-Zélande	Ailier	Arrière	185	89	26.004
Evans	2007	Nouvelle-Zélande	Demi	Arrière	180	84	25.926
Afoa	2011	Nouvelle-Zélande	1ère ligne	Avant	182	118	35.624
Boric	2011	Nouvelle-Zélande	2e ligne	Avant	200	110	27.500
Cowan	2011	Nouvelle-Zélande	Demi	Arrière	182	94	28.378
Ellis	2011	Nouvelle-Zélande	Demi	Arrière	182	89	26.869
Flynn	2011	Nouvelle-Zélande	1ère ligne	Avant	191	108	29.604
Franks B.	2011	Nouvelle-Zélande	1ère ligne	Avant	182	114	34.416
Guilford	2011	Nouvelle-Zélande	Ailier	Arrière	182	93	28.076
Kahui	2011	Nouvelle-Zélande	Centre	Arrière	189	100	27.995
Kaino	2011	Nouvelle-Zélande	3e ligne	Avant	193	105	28.189
Nonu	2011	Nouvelle-Zélande	Centre	Arrière	182	101	30.491
Read	2011	Nouvelle-Zélande	3e ligne	Avant	193	105	28.189
Slade	2011	Nouvelle-Zélande	Demi	Arrière	182	89	26.869
Smith	2011	Nouvelle-Zélande	Centre	Arrière	185	95	27.757
Thomson	2011	Nouvelle-Zélande	3e ligne	Avant	195	111	29.191
Thorn	2011	Nouvelle-Zélande	2e ligne	Avant	195	111	29.191
Toeava	2011	Nouvelle-Zélande	Arrière	Arrière	179	95	29.650
Vito	2011	Nouvelle-Zélande	3e ligne	Avant	192	109	29.568
Weepu	2011	Nouvelle-Zélande	Demi	Arrière	177	94	30.004
Whitelock	2011	Nouvelle-Zélande	2e ligne	Avant	194	111	29.493
Williams A.	2011	Nouvelle-Zélande	2e ligne	Avant	197	115	29.632
Williams S.	2011	Nouvelle-Zélande	Centre	Arrière	190	108	29.917
Carter	2011	Nouvelle-Zélande	Demi	Arrière	178	90	28.406
Dagg	2011	Nouvelle-Zélande	Ailier	Arrière	185	95	27.757
Franks O.	2011	Nouvelle-Zélande	1ère ligne	Avant	185	116	33.893
Hore	2011	Nouvelle-Zélande	1ère ligne	Avant	182	110	33.209
Jane	2011	Nouvelle-Zélande	Ailier	Arrière	182	84	25.359
McCaw	2011	Nouvelle-Zélande	3e ligne	Avant	187	105	30.027
Mealamu	2011	Nouvelle-Zélande	1ère ligne	Avant	179	105	32.771
Muliaina	2011	Nouvelle-Zélande	Arrière	Arrière	182	93	28.076
Woodcock	2011	Nouvelle-Zélande	1ère ligne	Avant	185	118	34.478
Benett	1995	Pays de Galles	3e ligne	Avant	186	90	26.015
Clement	1995	Pays de Galles	Arrière	Arrière	178	80	25.249
Davies A.	1995	Pays de Galles	Centre	Arrière	180	87	26.852
Davies J.	1995	Pays de Galles	1ère ligne	Avant	178	107	33.771
Davies S.	1995	Pays de Galles	3e ligne	Avant	192	109	29.568
Evans D.	1995	Pays de Galles	Centre	Arrière	175	78	25.469
Evans I.	1995	Pays de Galles	Ailier	Arrière	178	78	24.618
Evans R.	1995	Pays de Galles	1ère ligne	Avant	187	108	30.884
Ford	1995	Pays de Galles	Ailier	Arrière	183	79	23.590
Griffiths	1995	Pays de Galles	1ère ligne	Avant	180	105	32.407
Hall	1995	Pays de Galles	Centre	Arrière	185	95	27.757
Humphreys	1995	Pays de Galles	1ère ligne	Avant	182	95	28.680
Jenkins G.	1995	Pays de Galles	1ère ligne	Avant	175	100	32.653
Jenkins N.	1995	Pays de Galles	Demi	Arrière	178	72	22.724
John	1995	Pays de Galles	1ère ligne	Avant	185	108	31.556
Jones D.	1995	Pays de Galles	2e ligne	Avant	208	118	27.274
Jones R.	1995	Pays de Galles	Demi	Arrière	173	74	24.725
Lewis	1995	Pays de Galles	3e ligne	Avant	192	105	28.483
Llewellyn	1995	Pays de Galles	2e ligne	Avant	198	112	28.569
Moore	1995	Pays de Galles	Demi	Arrière	178	77	24.302
Proctor	1995	Pays de Galles	Ailier	Arrière	183	77	22.993
Prosser	1995	Pays de Galles	2e ligne	Avant	195	108	28.402
Roy	1995	Pays de Galles	2e ligne	Avant	198	110	28.058
Taylor	1995	Pays de Galles	3e ligne	Avant	188	93	26.313
Thomas G.	1995	Pays de Galles	Centre	Arrière	188	94	26.596
Thomas J.	1995	Pays de Galles	Ailier	Arrière	176	74	23.889
Bateman	1999	Pays de Galles	Centre	Arrière	175	88	28.735
Boobyer	1999	Pays de Galles	Arrière	Arrière	180	82	25.309
Charvis	1999	Pays de Galles	3e ligne	Avant	190	104	28.809
Davies	1999	Pays de Galles	Centre	Arrière	182	99	29.888
Evans	1999	Pays de Galles	1ère ligne	Avant	190	118	32.687
Gibbs	1999	Pays de Galles	Centre	Arrière	175	98	32.000
Howarth	1999	Pays de Galles	Arrière	Arrière	178	87	27.459
Howley	1999	Pays de Galles	Demi	Arrière	177	83	26.493
Humphreys	1999	Pays de Galles	1ère ligne	Avant	182	104	31.397
James	1999	Pays de Galles	Ailier	Arrière	190	84	23.269
Jenkins G.	1999	Pays de Galles	1ère ligne	Avant	177	102	32.558
Jenkins N.	1999	Pays de Galles	Demi	Arrière	177	83	26.493
Jones	1999	Pays de Galles	Demi	Arrière	182	86	25.963
Jones-Hughes	1999	Pays de Galles	Centre	Arrière	192	105	28.483
Lewis A.	1999	Pays de Galles	1ère ligne	Avant	177	104	33.196
Lewis G.	1999	Pays de Galles	3e ligne	Avant	175	82	26.776
Llewellyn D.	1999	Pays de Galles	Demi	Arrière	177	88	28.089
Llewellyn G.	1999	Pays de Galles	2e ligne	Avant	198	112	28.569
Moore	1999	Pays de Galles	2e ligne	Avant	200	112	28.000
Quinnell C.	1999	Pays de Galles	2e ligne	Avant	198	124	31.629
Quinnell S.	1999	Pays de Galles	3e ligne	Avant	193	116	31.142
Rogers	1999	Pays de Galles	1ère ligne	Avant	182	105	31.699
Sinkinson	1999	Pays de Galles	3e ligne	Avant	182	96	28.982
Taylor	1999	Pays de Galles	Centre	Arrière	185	86	25.128
Thomas	1999	Pays de Galles	Ailier	Arrière	187	103	29.455
Voyle	1999	Pays de Galles	3e ligne	Avant	195	106	27.876
Walne	1999	Pays de Galles	Ailier	Arrière	193	98	26.309
Williams	1999	Pays de Galles	3e ligne	Avant	187	100	28.597
Wyatt	1999	Pays de Galles	2e ligne	Avant	195	106	27.876
Young	1999	Pays de Galles	1ère ligne	Avant	185	113	33.017
Bennett	2003	Pays de Galles	1ère ligne	Avant	182	105	31.699
Charvis	2003	Pays de Galles	3e ligne	Avant	190	105	29.086
Cockbain	2003	Pays de Galles	2e ligne	Avant	203	116	28.149
Cooper	2003	Pays de Galles	Demi	Arrière	170	76	26.298
Davies	2003	Pays de Galles	1ère ligne	Avant	177	95	30.323
Evans	2003	Pays de Galles	Arrière	Arrière	180	82	25.309
Jones A.	2003	Pays de Galles	1ère ligne	Avant	182	121	36.529
Jones Da.	2003	Pays de Galles	Arrière	Arrière	190	105	29.086
Jones Du.	2003	Pays de Galles	1ère ligne	Avant	182	110	33.209
Jones M.	2003	Pays de Galles	Ailier	Arrière	187	83	23.735
Jones S.	2003	Pays de Galles	Demi	Arrière	185	89	26.004
Llewellyn	2003	Pays de Galles	2e ligne	Avant	198	112	28.569
McBryde	2003	Pays de Galles	1ère ligne	Avant	180	99	30.556
Owen	2003	Pays de Galles	3e ligne	Avant	195	111	29.191
Parker	2003	Pays de Galles	Centre	Arrière	182	103	31.095
Shanklin	2003	Pays de Galles	Centre	Arrière	187	95	27.167
Sidoli	2003	Pays de Galles	2e ligne	Avant	195	112	29.454
Sweeney	2003	Pays de Galles	Demi	Arrière	177	84	26.812
Taylor	2003	Pays de Galles	Centre	Arrière	186	87	25.147
Thomas G.	2003	Pays de Galles	Centre	Arrière	193	102	27.383
Thomas I.	2003	Pays de Galles	1ère ligne	Avant	185	109	31.848
Thomas J.	2003	Pays de Galles	3e ligne	Avant	195	105	27.613
Williams R.	2003	Pays de Galles	Ailier	Arrière	180	86	26.543
Williams S.	2003	Pays de Galles	Ailier	Arrière	170	77	26.644
Jenkins	2003	Pays de Galles	1ère ligne	Avant	187	117	33.458
Morgan	2003	Pays de Galles	Arrière	Arrière	177	80	25.535
Peel	2003	Pays de Galles	Demi	Arrière	175	76	24.816
Popham	2003	Pays de Galles	3e ligne	Avant	190	110	30.471
Harris	2003	Pays de Galles	Centre	Arrière	178	87	27.459
Williams M.	2003	Pays de Galles	3e ligne	Avant	185	97	28.342
Jones Ad.	2007	Pays de Galles	1ère ligne	Avant	183	129	38.520
Horsman	2007	Pays de Galles	1ère ligne	Avant	181	112	34.187
Jones D.	2007	Pays de Galles	1ère ligne	Avant	182	111	33.510
Jenkins	2007	Pays de Galles	1ère ligne	Avant	188	118	33.386
Rees	2007	Pays de Galles	1ère ligne	Avant	183	106	31.652
Charvis	2007	Pays de Galles	3e ligne	Avant	190	114	31.579
Popham	2007	Pays de Galles	3e ligne	Avant	188	110	31.123
Thomas R.	2007	Pays de Galles	1ère ligne	Avant	183	104	31.055
Jones Al.	2007	Pays de Galles	2e ligne	Avant	195	118	31.032
James W.	2007	Pays de Galles	2e ligne	Avant	199	122	30.807
Gough	2007	Pays de Galles	2e ligne	Avant	198	120	30.609
Parker	2007	Pays de Galles	Centre	Arrière	185	103	30.095
Owen	2007	Pays de Galles	3e ligne	Avant	196	115	29.935
Bennett	2007	Pays de Galles	1ère ligne	Avant	183	100	29.861
Williams M.	2007	Pays de Galles	3e ligne	Avant	185	101	29.511
Thomas G.	2007	Pays de Galles	Ailier	Arrière	188	103	29.142
Cooper	2007	Pays de Galles	Demi	Arrière	171	85	29.069
Thomas J.	2007	Pays de Galles	2e ligne	Avant	196	110	28.634
