Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
#14 RECORDS ,ANASTASIA ,AQUA TOFANA ,CD ,2000.0,17/09/15
2ZR ,CARIBBEAN DANDEE ,CARIBBEAN DANCE ,CD ,20000.0,05/11/15
6 MILLIARDS DE FETARDS ,TOURNEE GENERALE ,10 ANS ET TOUTES NOS DENTS ,Formation ,1500.0,16/12/15
A BRULE POURPOINT ,SAGES COMME DES SAUVAGES ,LARGUE LA PEAU ,SALLE ,1200.0,24/08/15
ABSILONE TECHNOLOGIES ,JEREMY JOUVE ,JEREMY JOUVES PLAYS DUPLESSY ,SALLE ,1920.0,15/04/15
ABSOLUTE MANAGEMENT ,PEREZ ,APOCALYPSE ,VM ,3000.0,05/11/15
ABSOLUTE MANAGEMENT ,PEREZ ,LES VACANCES CONTINUENT ,VM ,4000.0,10/02/15
ABUZIVE MUSIK ,SUBVENTION 2014 ,,MUZICENTER ,340.0,16/02/15
ACM / AIDE A LA CREATION MUSICALE ,CHRISTIAN BRAZIER QUARTET ,SEPTIEME VAGUE ,SALLE ,800.0,18/11/15
ACTIVIST MUSIC ,L HOMME PARLE ,TELEGENIQUE ,VM ,1000.0,02/04/15
ACTIVIST MUSIC ,L HOMME PARLE ,VAGABOND ,VM ,1500.0,17/09/15
ACTIVIST MUSIC ,L HOMME PARLE ,LE JOUR VIENDRA ,VM ,1500.0,17/09/15
ACTIVIST MUSIC ,SOLA ,LES VOIES DU HASARD ,VM ,1000.0,17/09/15
ADONE ,DEUX ,PHOTO NON CONTRACTUELLE ,PM ,2000.0,05/11/15
ADONE ,DEUX ,PHOTO NON CONTRACTUELLE ,SALLE ,1600.0,18/11/15
ADONE ,DEUX ,LES FILS CACHES DE JEAN-PAUL ,TS ,2000.0,05/11/15
ADONE ,LES FATALS PICARDS ,LES FATALS PICARDS TOURNEE 2015 ,TS ,4000.0,28/05/15
AIR RYTMO ,MORIARTY ,REVERSE (ANGER) ,VM ,5000.0,09/07/15
AIR RYTMO ,MORIARTY ,HISTORY OF VIOLENCE ,VM ,5000.0,17/09/15
AKS RECORDS ,GANDHI ,KILLING EACH OTHER ,VM ,1000.0,17/12/15
ALMA MUSIQUES ,ANTONIO PLACER ,MI PAIS SE HUNDE ,SALLE ,1200.0,01/09/15
ALPHALLIANCE ,ALPHA BLONDY ,POSITIVE ENERGY ,SALLE ,6160.0,04/06/15
AME SON ,ENSEMBLE PUGNANI / EMMANUEL CURIAL ,SONATES A VIOLON SEUL ET BASSE CONTINUE ,CD ,3000.0,10/02/15
ANOUCHE PRODUCTIONS ,GRAND CORPS MALADE ,IL NOUS RESTERA CA ,CD ,25000.0,17/09/15
ANTEPRIMA PRODUCTIONS ,MANU KATCHE ,UNSTATIC ,CD ,5000.0,17/09/15
ARCAPROD ,COLLECTIF METISSE ,RENDEZ VOUS AU SOLEIL ,VM ,5000.0,09/07/15
ARCAPROD ,COLLECTIF METISSE ,C EST PAS COMPLIQUE ,VM ,8000.0,17/12/15
AS CORPUS ,YETI LANE ,PSYCHIC HAZE ,CD ,2000.0,17/09/15
AS CORPUS ,YETI LANE ,L’AURORE ,VM ,3000.0,05/11/15
ASIL - BANZAI LAB ,SMOKEY JOE AND THE KID ,RUNNING TO THE MOON ,CD ,1000.0,17/12/15
ASSOCIATION NO FRIDGE ,CLICK HERE ,BALKANDALUCIA ,SALLE ,1600.0,26/02/15
ASSOCIATION PRESQUE OUI ,PRESQUE OUI ,DE TOUTE EVIDENCE ,CD ,3000.0,02/04/15
ASSOCIATION SOFIA LABEL ,LILI CROS ET THIERRY CHAZELLE ,PEAU NEUVE ,CD ,2000.0,05/11/15
AT(H)OME ,ARMAN MELIES ,VERTIGONE ,CD ,7000.0,28/05/15
AT(H)OME ,CLARIKA ,ALBUM N°7 (tbc) ,CD ,15000.0,28/05/15
AT(H)OME ,HILDEBRANDT ,ALBUM 1 ,CD ,10000.0,05/11/15
AT(H)OME ,LA MAISON TELLIER ,AVALANCHES ,CD ,15000.0,09/07/15
AT(H)OME ,LENINE RENAUD ,"6, RUE BRÛLE MAISON ",CD ,7000.0,02/04/15
AT(H)OME ,MAZARIN ,LA CROISEE DES CHEMINS ,CD ,9000.0,09/07/15
AT(H)OME ,THE HYENES ,AU VENT MAUVAIS ,CD ,5000.0,02/04/15
AT(H)OME ,ROBI ,LA CAVALE ,Formation ,1650.0,03/07/15
AT(H)OME ,BLANKASS ,EN PANORAMA EP ,PM ,7000.0,28/05/15
AT(H)OME ,LOFOFORA ,L’EPREUVE DU CONTRAIRE ,PM ,10000.0,28/05/15
AT(H)OME ,ROBI ,LA CAVALE ,PM ,6000.0,05/11/15
AT(H)OME ,LENINE RENAUD ,"6, RUE BRULE MAISON ",SALLE ,2240.0,27/04/15
AT(H)OME ,LES TIT NASSELS ,SOYONS FOUS ! EN CONCERT ,TS ,3000.0,02/04/15
AT(H)OME ,ARMAN MELIES ,CONSTAMMENT JE BRULE ,VM ,2000.0,17/12/15
AT(H)OME ,ROBI ,NUIT DE FETE ,VM ,5000.0,02/04/15
ATMO PROD ,MALO ,EP (TBC) ,CD ,12000.0,10/02/15
ATMO PROD ,AS ANIMALS ,AS ANIMALS ,Formation ,1650.0,19/01/15
ATMO PROD ,SUBVENTION 2014 ,,MUZICENTER ,2765.02,16/02/15
ATMO PROD ,CHARLIE WINSON ,CURIO CITY ,PM ,35000.0,28/05/15
ATMO PROD ,MAYA KAMATY ,SANTIE PAPANG ,PM ,10000.0,09/07/15
ATMO PROD ,SET & MATCH ,COSY BANG BANG ,PM ,20000.0,17/09/15
ATMO PROD ,SET & MATCH ,COSY BANG BANG ,SALLE ,1760.0,20/02/15
ATMO PROD ,MALO ,PREMIERE PARTIE CHARLIE WINSTON/CALI ,TS ,5000.0,02/04/15
ATMO PROD ,SET & MATCH ,FALLAIT PAS M INVITER ,VM ,7000.0,10/02/15
B RECORDS ,BRIGITTE ,A BOUCHE QUE VEUX TU CLASSIQUE REEDITION ,CD ,7000.0,05/11/15
B RECORDS ,BRIGITTE ,J’SAIS PAS ,VM ,5000.0,02/04/15
B RECORDS ,BRIGITTE ,HIER ENCORE ,VM ,8000.0,28/05/15
BACCHANALES PRODUCTIONS ,MANU GALURE ,QUE DE LA PLUIE ,SALLE ,2240.0,02/02/15
BACO RECORDS ,PHASES CACHEES ,2 TEMPS 3 MOUVEMENTS ,CD ,2000.0,10/02/15
BACO RECORDS ,DANAKIL ,ENTRE LES LIGNES ,PM ,8000.0,10/02/15
BACO RECORDS ,BRAHIM ,DECONNECTE ,SALLE ,1800.0,10/04/15
BACO RECORDS ,PHASES CACHEES ,2 TEMPS 3 MOUVEMENTS ,SALLE ,1800.0,10/04/15
BACO RECORDS ,PHASES CACHEES ,2 TEMPS 3 MOUVEMENTS ,TS ,2000.0,10/02/15
BANCO MUSIC ,ZOUFRIS MARACAS ,ET SI DEMAIN ,VM ,4000.0,10/02/15
BECAUSE MUSIC ,ADICT ,A. D. I. C. T ,CD ,24000.0,02/04/15
BECAUSE MUSIC ,CHRISTINE AND THE QUEENS ,CHALEUR HUMAINE (REEDITION COLLECTOR) ,CD ,10000.0,05/11/15
BECAUSE MUSIC ,MINUIT ,MINUIT EP (tbc) ,CD ,12000.0,02/04/15
BECAUSE MUSIC ,LIL COMTESS ,COMTESS ,Formation ,1650.0,19/11/15
BECAUSE MUSIC ,SUBVENTION 2014 ,,MUZICENTER ,6477.0,16/02/15
BECAUSE MUSIC ,ADICT ,A.D.I.C.T ,PM ,20000.0,28/05/15
BECAUSE MUSIC ,BLACKO ,DUALITE (anciennement LE TEMPS EST COMPTE) ,PM ,23000.0,02/04/15
BECAUSE MUSIC ,DJANGO DJANGO ,BORN UNDER SATURN ,PM ,25000.0,05/11/15
BECAUSE MUSIC ,GHOST CULTURE ,GHOST CULTURE ,PM ,10000.0,28/05/15
BECAUSE MUSIC ,H BURNS ,NIGHT MOVES ,PM ,8000.0,28/05/15
BECAUSE MUSIC ,LAZA MORGAN ,ONE BY ONE ,PM ,15000.0,28/05/15
BECAUSE MUSIC ,MAJOR LAZER ,PEACE IS THE MISSION ,PM ,31000.0,17/12/15
BECAUSE MUSIC ,NOR ,A CŒUR OUVERT ,PM ,20000.0,02/04/15
BECAUSE MUSIC ,PLASTICINES ,BACK TO THE START ,PM ,15000.0,28/05/15
BECAUSE MUSIC ,SELAH SUE ,REASON ,PM ,35000.0,28/05/15
BECAUSE MUSIC ,SOKO ,MY DREAMS DICTATE MY REALITY ,PM ,20000.0,28/05/15
BECAUSE MUSIC ,BLACKO ,LE TEMPS EST COMPTE ,SALLE ,1920.0,10/03/15
BECAUSE MUSIC ,DENAI MOORE ,ELSEWHERE ,SALLE ,1600.0,03/03/15
BECAUSE MUSIC ,GHOST CULTURE ,GHOST CULTURE ,SALLE ,1920.0,09/02/15
BECAUSE MUSIC ,MINUIT ,MINUIT EP ,SALLE ,1600.0,24/08/15
BECAUSE MUSIC ,THE LIMINANAS ,COSTA BLANCA ,SALLE ,1920.0,10/04/15
BECAUSE MUSIC ,BLACKO ,LE TEMPS EST COMPTE ,TS ,8000.0,10/02/15
BECAUSE MUSIC ,DJANGO DJANGO ,BORN UNDER SATURN ,TS ,15000.0,09/07/15
BECAUSE MUSIC ,GHOST CULTURE ,GHOST CULTURE ,TS ,15000.0,28/05/15
BECAUSE MUSIC ,JO DAHAN ,QUE C’EST BEAU ,TS ,4000.0,02/04/15
BECAUSE MUSIC ,MINUIT ,MINUIT ,TS ,10000.0,17/09/15
BECAUSE MUSIC ,SELAH SUE ,REASON ,TS ,20000.0,28/05/15
BECAUSE MUSIC ,BLACKO ,LE MUR DU SILENCE ,VM ,6000.0,17/09/15
BECAUSE MUSIC ,BLACKO ,EQUILIBRE ,VM ,6000.0,17/09/15
BECAUSE MUSIC ,CERRONE ,SUPERNATURE ,VM ,8000.0,02/04/15
BECAUSE MUSIC ,CHRISTINE AND THE QUEENS ,IT ,VM ,5000.0,17/09/15
BECAUSE MUSIC ,CHRISTINE AND THE QUEENS ,NUIT 17 A 52 NOUVELLE VERSION ,VM ,15000.0,05/11/15
BECAUSE MUSIC ,CHRISTINE AND THE QUEENS ,PARADIS PERDUS ,VM ,18000.0,02/04/15
BECAUSE MUSIC ,CHRISTINE AND THE QUEENS ,NO HARM IS DONE ,VM ,25000.0,17/09/15
BECAUSE MUSIC ,DJANGO DJANGO ,REFLECTIONS ,VM ,8000.0,28/05/15
BECAUSE MUSIC ,DJANGO DJANGO ,SHAKE AND TREMBLE ,VM ,9000.0,28/05/15
BECAUSE MUSIC ,JO DAHAN ,QUE C’EST BEAU ,VM ,5000.0,02/04/15
BECAUSE MUSIC ,MAJOR LAZER ,NIGHT RIDERS ,VM ,20000.0,28/05/15
BECAUSE MUSIC ,MINUIT ,CAFEINE ,VM ,8000.0,09/07/15
BECAUSE MUSIC ,MINUIT ,FLASH ,VM ,9000.0,17/09/15
BECAUSE MUSIC ,NICOLAS GODIN ,ORCA ,VM ,5000.0,09/07/15
BECAUSE MUSIC ,NICOLAS GODIN ,WINDERSTHE DOOR DER SUNDE ,VM ,25000.0,09/07/15
BECAUSE MUSIC ,SELAH SUE ,WON T GO FOR MORE ,VM ,7000.0,09/07/15
BECAUSE MUSIC ,SELAH SUE ,REASON ,VM ,20000.0,10/02/15
BEGGARS BANQUET GROUP LIMITED ,SUBVENTION 2014 ,,MUZICENTER ,222.5,16/02/15
BEGGARS BANQUET GROUP LIMITED ,IBEYI ,IBEYI ,PM ,15000.0,09/07/15
BEGGARS BANQUET GROUP LIMITED ,JUNGLE ,JUNGLE ,PM ,10000.0,09/07/15
BEGGARS BANQUET GROUP LIMITED ,IBEYI ,GHOSTS ,VM ,5000.0,02/04/15
BEHIND ,BENJAMIN CLEMENTINE ,LONDON ,VM ,3000.0,09/07/15
BELIEVE ,SARAH RIANI ,DARK EN CIEL ,CD ,15000.0,10/02/15
BELIEVE ,SETH GUEKO ,PROFESSEUR PUNCHLINE ,CD ,15000.0,05/11/15
BELIEVE ,SNEAZZY ,SUPER ,CD ,30000.0,02/04/15
BELIEVE ,CAMP CLAUDE ,TBC ,Formation ,1650.0,19/11/15
BELIEVE ,SUBVENTION 2014 ,,MUZICENTER ,1750.0,16/02/15
BELIEVE ,BJORK ,VULNICURA ,PM ,20000.0,05/11/15
BELIEVE ,CHARLES PASI ,SOMETIMES AWAKE ,PM ,10000.0,17/09/15
BELIEVE ,FYFE ,CONTROL ,PM ,7000.0,05/11/15
BELIEVE ,L ENTOURAGE ,JEUNES ENTREPRENEURS ,PM ,12000.0,02/04/15
BELIEVE ,MINA TINDLE ,PARADES ,PM ,12000.0,09/07/15
BELIEVE ,SNEAZZY ,SUPER ,PM ,10000.0,17/12/15
BELIEVE ,CAMP CLAUDE ,HURRICANES ,SALLE ,1760.0,06/03/15
BELIEVE ,S PRI NOIR ,LE MONDE NE SUFFIT PAS ,SALLE ,1920.0,03/06/15
BELIEVE ,ALELA DIANE ET RYAN FRANCESCONI ,SHAPELESS ,VM ,3000.0,17/09/15
BELIEVE ,AMINE ,SENORITA ,VM ,7000.0,28/05/15
BELIEVE ,AMINE ,TU VERRAS ,VM ,8000.0,17/09/15
BELIEVE ,ARIEL & MISTER V ,SELFISH ,VM ,4000.0,10/02/15
BELIEVE ,FYFE ,SOLACE ,VM ,5000.0,10/02/15
BELIEVE ,GRAND CORPS MALADE ,L’HEURE DES POETES ,VM ,9000.0,17/09/15
BELIEVE ,GRAND CORPS MALADE ,POCAHONTAS ,VM ,9000.0,05/11/15
BELIEVE ,GRAND CORPS MALADE ,LE BOUT DU TUNNEL ,VM ,13000.0,10/02/15
BELIEVE ,JOHN MAMANN ,LALALA ,VM ,10000.0,28/05/15
BELIEVE ,LECK ,ON TIME ,VM ,7000.0,28/05/15
BELIEVE ,MINA TINDLE ,A SEVILLE ,VM ,5000.0,10/02/15
BELIEVE ,OFENBACH ,AROUND THE FIRE ,VM ,3000.0,09/07/15
BELIEVE ,S PRI NOIR ,KESTUPEUFAIRE ,VM ,3000.0,28/05/15
BELIEVE ,S. PRI NOIR ,MY LIFE ,VM ,4000.0,02/04/15
BELIEVE ,SARAH RIANI ,COMME TOI ,VM ,3000.0,28/05/15
BELIEVE ,SETH GUEKO ,VAL D’OSEILLE ,VM ,4000.0,17/09/15
BELIEVE ,SETH GUEKO ,TITI PARISIEN ,VM ,5000.0,05/11/15
BELIEVE ,SNEAZZY ,ENVIE D’ELLE ,VM ,6000.0,28/05/15
BELUGA PRODUCTIONS ET EDITIONS ,PRIVATE PEPPER ,LA FILLE EN RE ,VM ,1000.0,17/09/15
BELUGA PRODUCTIONS ET EDITIONS ,PRIVATE PEPPER ,SABADO SAMBA ,VM ,2000.0,28/05/15
BG CREA SCRI ,GRANDGEORGE ,SO FINE ,VM ,3000.0,09/07/15
BIRDS IN THE STORM ,AARON ,WE CUT THE NIGHT ,CD ,15000.0,28/05/15
BIRDS IN THE STORM ,AARON ,WE CUT THE NIGHT ,TS ,10000.0,28/05/15
BIRDS IN THE STORM ,AARON ,BLOUSON NOIR ,VM ,5000.0,09/07/15
BLUE LINE ORGANISATION ,HK ET LES SALTIMBANKS ,RALLUMEURS D ETOILES ,CD ,5000.0,02/04/15
BLUE LINE ORGANISATION ,KARIMOUCHE ,ACTION ,CD ,10000.0,10/02/15
BLUE LINE ORGANISATION ,CHLOE LACAN ,MENAGE A TROIS ,SALLE ,1520.0,04/11/15
BLUE LINE ORGANISATION ,HK ET LES SALTIMBANKS ,RALLUMEURS D’ETOILES ,SALLE ,6636.0,27/04/15
BLUE LINE ORGANISATION ,KARIMOUCHE ,ACTION ,SALLE ,2240.0,20/02/15
BLUE LINE ORGANISATION ,KARIMOUCHE ,ACTION ,VM ,2000.0,10/02/15
BRAN MUSIC ,CECILE CORBEL ,CECILE CORBEL SONGBOOK TOUR ,TS ,2000.0,28/05/15
BROUHAHA ,LIZZY LING ,WORKING DAY ,Formation ,1500.0,08/10/15
BUDDE MUSIC France ,SUBVENTION 2014 ,,MUZICENTER ,340.0,16/02/15
BUDDE MUSIC France ,THYLACINE ,MOUNTAINS ,VM ,2000.0,17/09/15
BULLDOG MUSIC ,EVA MARCHAL ,PROMISED LAND ,SALLE ,876.0,26/03/15
CASA VERDE PRODUCTIONS ,MARIANA RAMOS ,QUINTA ,PM ,3000.0,17/09/15
CASA VERDE PRODUCTIONS ,MARIANA RAMOS ,QUINTA ,SALLE ,1680.0,16/11/15
CASA VERDE PRODUCTIONS ,MARIANA RAMOS ,NADA E PERFITO ,VM ,1500.0,28/05/15
CASA VERDE PRODUCTIONS ,MARIANA RAMOS ,ESTRELA DA MARINHA ,VM ,1500.0,28/05/15
CATAVENTO ,AURELIE ET VERIOCA ,PAS A PAS ,CD ,2000.0,10/02/15
CATAVENTO ,AURELIE ET VERIOCA ,PAS A PAS ,SALLE ,1520.0,24/08/15
CH+ ,GADZBY ,MERCI PARIS ,CD ,5000.0,02/04/15
CHANDELLE PRODUCTIONS ,FRANCIS CABREL ,IN EXTREMIS ,CD ,40000.0,02/04/15
CHANDELLE PRODUCTIONS ,FRANCIS CABREL ,DUR COMME FER ,VM ,20000.0,17/09/15
CHAPA BLUES ,VICTOR DEME ,LP3 ,CD ,4000.0,17/09/15
CHINESE MAN RECORDS ,TAIWAN MC ,DISKODUB ,Formation ,1500.0,08/12/15
CHOKE INDUSTRY ,LILLY WOOD AND THE PRICK ,LP3 / SHADOWS ,CD ,40000.0,09/07/15
CHOKE INDUSTRY ,BURNING PEACOCKS ,BURNING PEACOCKS ,Formation ,1500.0,19/01/15
CHOKE INDUSTRY ,TESS ,LP1 ,Formation ,1650.0,03/06/15
CHOKE INDUSTRY ,ANA ZIMMER ,MONEY FEAT FINDING NOVYON ,VM ,4000.0,05/11/15
CHOKE INDUSTRY ,BURNING PEACOCKS ,AVRIL ,VM ,4000.0,10/02/15
CHOKE INDUSTRY ,LILLY WOOD AND THE PRICK ,I LOVE YOU ,VM ,17000.0,05/11/15
CIRCUS COMPANY SARL ,LES FILS DU CALVAIRE ,FILS DE ,CD ,2000.0,02/04/15
CIRCUS COMPANY SARL ,LES FILS DU CALVAIRE ,RESTER AVEC TOI  ,VM ,1500.0,17/09/15
COMPAGNIE ILLIMITEE ,TONY MELVIL ET USMAR ,QUAND JE SERAI PETIT ,SALLE ,1920.0,03/12/15
COMPAGNIE METAMORPHOSE ,ISABELLE OLIVIER ,DON’T WORRY BE HARPY VOLUME 2 ,CD ,2000.0,17/09/15
COMPAGNIE METAMORPHOSE ,ISABELLE OLIVIER ,DON’T WORRY BE HARPY ,SALLE ,1920.0,27/02/15
COOKING VINYL ,THE PRODIGY ,THE DAY IS MY ENEMY ,PM ,5000.0,09/07/15
COOKING VINYL ,CARL BARAT ,GLORY DAYS ,VM ,2000.0,10/02/15
COOKING VINYL ,THE PRODIGY ,NASTY ,VM ,6000.0,10/02/15
CRACKI RECORDS ,CAANDIDES ,20° 30’S 29° 20’W ,CD ,2000.0,28/05/15
CRACKI RECORDS ,MENAGE A TROIS ,AUSTRALIA PART II ,CD ,1000.0,17/09/15
CRAMMED DISCS ,AXEL KRYGIER ,HOMBRE DE PIEDRA ,CD ,3000.0,10/02/15
CRAMMED DISCS ,BERANGERE MAXIMIN ,DANGEROUS ORBITS ,CD ,2000.0,09/07/15
CRAMMED DISCS ,LE TON MITE ,"PASSE COMPOSE, FUTUR CONDITIONNEL ",CD ,3000.0,17/12/15
CRAMMED DISCS ,SKIP & DIE ,COSMIC SERPENTS ,CD ,4000.0,02/04/15
CRAMMED DISCS ,TARAF DE HAIDOUKS ,"OF LOVERS, GAMBLERS AND PARACHUTE SKIRTS ",SALLE ,1680.0,13/02/15
CRISTAL PRODUCTION ,LES HURLEMENTS D’LEO ,LES HURLEMENTS D’LEO CHANTENT MANO SOLO ,CD ,7000.0,10/02/15
CRISTAL PRODUCTION ,LISBET GULDBAEK ,THE BEAUTIFUL ,PM ,2000.0,02/04/15
CRISTAL PRODUCTION ,LES HURLEMENTS D’LEO ,LES HURLEMENTS D’LEO CHANTENT MANO SOLO ,SALLE ,4640.0,24/08/15
CRISTAL PRODUCTION ,LISBET GULDBAEK ,THE BEAUTIFUL ,SALLE ,1920.0,27/02/15
CRISTAL PRODUCTION ,LES HURLEMENTS D’LEO ,LES HURLEMENTS D’LEO CHANTENT MANO SOLO ,TS ,5000.0,17/09/15
DEAF ROCK ,ALPES ,STRESS INVADER ,CD ,2000.0,05/11/15
DEAF ROCK ,COLT SILVERS ,SWORDS ,CD ,5000.0,02/04/15
DEAF ROCK ,COLT SILVERS ,SWORDS ,PM ,5000.0,17/12/15
DEAF ROCK ,1984,TORPOR ,VM ,1000.0,28/05/15
DEAF ROCK ,COLT SILVERS ,YOURS ,VM ,1500.0,17/09/15
DEBOUT SUR LE ZINC ,DEBOUT SUR LE ZINC ,ELDORADO(S) ,CD ,4000.0,09/07/15
DEBOUT SUR LE ZINC ,DEBOUT SUR LE ZINC ,EL DORADO ,TS ,5000.0,17/12/15
DEBOUT SUR LE ZINC ,DEBOUT SUR LE ZINC ,J’AI VU LA LUMIERE ,VM ,3000.0,17/12/15
DERNIERE BANDE MUSIC ,RODOLPHE BURGER ,PLAY KAT ONOMA ,SALLE ,4960.0,10/03/15
DERRIERE LES PLANCHES ,OXMO PUCCINO ,LA VOIX LACTE ,CD ,17000.0,17/09/15
DERRIERE LES PLANCHES ,OXMO PUCCINO ,SLOW LIFE ,VM ,4000.0,05/11/15
DERRIERE LES PLANCHES ,OXMO PUCCINO ,UNE CHANCE ,VM ,8000.0,17/09/15
DISCOGRAPH ,JOWEE OMICIL ,ALL THAT BASH ,CD ,20000.0,17/12/15
DISCOGRAPH ,MELISSMELL ,L ANKU ,CD ,15000.0,09/07/15
DISCOGRAPH ,SUBVENTION 2014 ,,MUZICENTER ,2797.5,16/02/15
DISCOGRAPH ,FLAVIA COELHO ,MUNDO MEU ,PM ,10000.0,28/05/15
DIVERSITE ,DUB INC ,BETTER RUN ,VM ,4000.0,10/02/15
DIXIEFROG ,ERIG BIBB ET JJ MILTEAU ,LEAD BELLY S GOLD ,PM ,4000.0,17/09/15
DIXIEFROG ,ERIC BIBB/JJ MILTEAU ,LEAD BELLY S GOLD ,SALLE ,4640.0,16/09/15
DIXIEFROG ,LITTLE BOB BLUES BASTARDS ,HOWLIN ,SALLE ,1680.0,29/09/15
DJ CENTER RECORDS ,SUBVENTION 2014 ,,MUZICENTER ,1239.58,16/02/15
DO YOU LIKE ,DTWICE ,DEVIL’S TUNE ,SALLE ,1760.0,11/06/15
DOMINO RECORDING ,FRANCOIS AND THE ATLAS MOUNTAINS ,PIANO OMBRE ,Formation ,1650.0,24/09/15
