Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
EDEN RECORDS ,CLARA PONTY ,CE QUE JE CROIS ,Formation ,1650.0,06/03/15
EDGE OF TOWN MUSIC ,J C SATAN ,J. C. SATAN ,CD ,2000.0,17/09/15
EDGE OF TOWN MUSIC ,TAHITI BOY AND THE PALMTREE FAMILY ,SONGS OF VERTIGO ,PM ,8000.0,28/05/15
EDGE OF TOWN MUSIC ,J C SATAN ,J. C. SATAN ,SALLE ,2000.0,03/11/15
EDGE OF TOWN MUSIC ,TAHITI BOY AND THE PALMTREE FAMILY ,SONGS OF VERTIGO ,SALLE ,1920.0,09/04/15
EDGE OF TOWN MUSIC ,TAHITI BOY AND THE PALMTREE FAMILY ,ALL THAT YOU ARE ,VM ,2000.0,02/04/15
EDITIONS FAIRWOOD MUSIC ,SUBVENTION 2014 ,,MUZICENTER ,682.5,14/01/15
EDITIONS MURRAY HEAD MUSIC ,MURRAY HEAD ,SAY IT AINT SO TOUR ,TS ,8000.0,02/04/15
EDITIONS SARAVAH ,COMPILATION SARAVAH ,50 ANS SARAVAH ,CD ,17000.0,17/09/15
EDITIONS SARAVAH ,MAIA BAROUH ,KODAMA ,SALLE ,2000.0,20/02/15
EKLER O SHOCK RECORDS / EOS ,ALEXANDRE CHATELARD ,ELLE ÉTAIT UNE FOIS ,Formation ,1650.0,19/11/15
EKLER O SHOCK RECORDS / EOS ,POLO & PAN ,TBC ,Formation ,1650.0,19/11/15
EKLER O SHOCK RECORDS / EOS ,DATA ,DON’T SING ,VM ,7000.0,10/02/15
EN MEME TEMPS ,PUSH UP ,THE DAY AFTER ,CD ,3000.0,10/02/15
EN MEME TEMPS ,CEUX QUI MARCHENT DEBOUT ,DON’T BE SHY ,VM ,3000.0,17/12/15
ENT SOCIETALE ENTREPRENARIAT ,BAGARRE ,EP2015 ,CD ,2000.0,02/04/15
ENT SOCIETALE ENTREPRENARIAT ,FISHBACH ,EP1 ,CD ,2000.0,05/11/15
ENT SOCIETALE ENTREPRENARIAT ,GRAND BLANC ,LP1 ,CD ,5000.0,09/07/15
ENT SOCIETALE ENTREPRENARIAT ,BAGARRE ,EP BAGARRE ,Formation ,1500.0,20/02/15
ENT SOCIETALE ENTREPRENARIAT ,GRAND BLANC ,EP1 ,Formation ,1650.0,12/01/15
ENT SOCIETALE ENTREPRENARIAT ,BLIND DIGITAL CITIZEN ,CUMBIA ,VM ,2000.0,28/05/15
ENT SOCIETALE ENTREPRENARIAT ,GRAND BLANC ,L’HOMME SERPENT ,VM ,5000.0,10/02/15
ENT SOCIETALE ENTREPRENARIAT ,GRAND BLANC ,MONTPARNASSE ,VM ,5000.0,28/05/15
EQUAL MUSIK ,FALONE ,JOSEPH ,SALLE ,1920.0,10/03/15
ERDA ACCENTUS ,ACCENTUS/INSULA ORCHESTRA/LAURENCE EQUILBEY ,ORFEO ET EURIDICE ,CD ,12000.0,28/05/15
ESPACE CULTUREL MEDITERRANEE ,TEMENIK ELECTRIC ,INCH’ALLAH BABY ,CD ,10000.0,02/04/15
ESPACE CULTUREL MEDITERRANEE ,TEMENIK ELECTRIC ,INCH’ALLAH BABY ,SALLE ,1680.0,04/11/15
ESPACE CULTUREL MEDITERRANEE ,TEMENIK ELECTRIC ,KEFICH N DIR ,VM ,1500.0,17/09/15
ESPACE CULTUREL MEDITERRANEE ,TEMENIK ELECTRIC ,DENIA DENIA ,VM ,1500.0,17/09/15
FAIT MAIN PRODUCTIONS ,SERGE BEYNAUD ,ACCELERATE ,CD ,4000.0,17/09/15
FAUVE CORP ,FAUVE ,VIEUX FRERES - PARTIE 2 ,PM ,20000.0,17/12/15
FEEL GOOD PRODUCTION ,SUBVENTION 2014 ,,MUZICENTER ,342.5,20/01/15
FLOX PRODUCTIONS ,FLOX ,TIGHT ,VM ,3000.0,28/05/15
FRAGMENTS DES ARTS ,RODRIGUE ,SPECTACULAIRE DIFFUS ,SALLE ,1920.0,27/02/15
FUTUREPLAY ,SUBVENTION 2014 ,,MUZICENTER ,1371.25,16/02/15
GAYA MUSIC ,FRED NARTIN / JON BOUTEILLIER QUARTET ,WATTS ,CD ,2000.0,17/12/15
GAYA MUSIC ,JULEIN ALOUR ,RYTHM ,CD ,1000.0,17/12/15
GAYA MUSIC ,ERIC SEVA QUARTET ,NOMADE SONORE ,SALLE ,1680.0,16/11/15
GAYA MUSIC ,MANU DOMERGUE ,RAVEN ,SALLE ,1680.0,27/01/15
GAYA MUSIC ,SAMY THIEBAULT QUARTET ,A FEAST OF FRIENDS ,SALLE ,1920.0,25/02/15
GAYA MUSIC ,SAMY THIEBAULT ,A FEAST OF FRIENDS ,TS ,2000.0,09/07/15
GEOMUSE ,AZIZ SAHMAOUI & UNIVERSITY OF GNAWA ,JILALA ,VM ,2000.0,17/12/15
GLG INVESTISSEMENT ,ROCCA ,BOGOTA PARIS ,SALLE ,2240.0,29/09/15
GOMUSIC ,SUBVENTION 2014 ,,MUZICENTER ,1037.08,16/02/15
GREEN UNITED MUSIC ,THE SHOES ,CHEMICALS ,CD ,15000.0,17/09/15
GREEN UNITED MUSIC ,SAGE ,IN BETWEEN ,PM ,10000.0,28/05/15
GREEN UNITED MUSIC ,SAGE ,IN BETWEEN ,SALLE ,1920.0,22/01/15
GREEN UNITED MUSIC ,SAGE ,IN BETWEEN ,VM ,17000.0,02/04/15
GREEN UNITED MUSIC ,THE SHOES ,SUBMARINE ,VM ,10000.0,17/09/15
GREEN UNITED MUSIC ,THE SHOES ,1960’S HORROR ,VM ,15000.0,28/05/15
HAMBURGER RECORDS ,POLO & PAN ,TBC ,Formation ,1650.0,18/11/15
HAMBURGER RECORDS ,POLO & PAN ,AQUALAND ,VM ,2000.0,28/05/15
HAMON YANN PRODUCTIONS ,3 MINUTES SUR MER ,ALBUM 2 ,CD ,2000.0,05/11/15
HAMON YANN PRODUCTIONS ,DOMINIC SONIC ,VANITE ,CD ,5000.0,10/02/15
HAMON YANN PRODUCTIONS ,LES NUS ,ALBUM 2 (tbc) ,CD ,5000.0,28/05/15
HAMON YANN PRODUCTIONS ,MONSIEUR ROUX ,ALBUM 4 ,CD ,3000.0,17/09/15
HAMON YANN PRODUCTIONS ,DOMINIC SONIC ,VANITES #6 ,PM ,4000.0,05/11/15
HAMON YANN PRODUCTIONS ,SUCCESS ,LOVE AND HATE ,SALLE ,1680.0,03/06/15
HAMON YANN PRODUCTIONS ,DEPORTIVO ,DOMINO ,TS ,5000.0,10/02/15
HAMON YANN PRODUCTIONS ,SUCCESS ,LOVE AND HATE ,TS ,2000.0,09/07/15
HAMON YANN PRODUCTIONS ,3 MINUTES SUR MER ,CATAPULTE ,VM ,1000.0,17/12/15
HAMON YANN PRODUCTIONS ,DOMINIC SONIC ,MIRACLES ,VM ,2000.0,02/04/15
HARMONIA MUNDI ,AKADEMIE FUR ALTE MUSIK BERLIN ,WATER MUSIC ,CD ,10000.0,05/11/15
HARMONIA MUNDI ,AMANDINE BEYER ,IL TEATRO ALLA MODA ,CD ,10000.0,28/05/15
HARMONIA MUNDI ,AMANDINE BEYER - GLI INCOGNITI ,PCHELBEL - ORAGE D AVRIL ,CD ,9000.0,17/12/15
HARMONIA MUNDI ,ANDREAS STAIER ,CONCERTOS POUR CLAVECIN ,CD ,20000.0,28/05/15
HARMONIA MUNDI ,DIEGO ARES ,SOL DE MI FORTUNA ,CD ,4000.0,17/09/15
HARMONIA MUNDI ,EMMANUELLE BERTRAND ,"1846, DERNIERE ANNEE A NOHANT ",CD ,6000.0,10/02/15
HARMONIA MUNDI ,EMMANUELLE BERTRAND ,CONCERTO POUR VIOLONCELLE  ,CD ,8000.0,28/05/15
HARMONIA MUNDI ,ISABELLE FAUST ,SONATES OP. 100 & 108 ,CD ,4000.0,28/05/15
HARMONIA MUNDI ,JAVIER PERIANES ,QUINTETTES AVEC PIANO ,CD ,5000.0,17/09/15
HARMONIA MUNDI ,JERUSALEM QUARTET ,QUATUORS A CORDES OP. 18 ,CD ,10000.0,28/05/15
HARMONIA MUNDI ,PABLO HERAS CASADO ,SYMPHONIES 3 ET 4 ,CD ,12000.0,05/11/15
HARMONIA MUNDI ,PABLO HERAS CASADO ,CONCERTOS ET TRIOS ,CD ,35000.0,02/04/15
HARMONIA MUNDI ,RAPHAEL PICHON ,LES FILLES DU RHIN ,CD ,8000.0,05/11/15
HARMONIA MUNDI ,RENE JACOBS ,RAPPRESENTATIONE DI ANIMA E DI CORPO ,CD ,20000.0,10/02/15
HARMONIA MUNDI ,RENE JACOBS ,L’ENLEVEMENT AU SERAIL ,CD ,30000.0,28/05/15
HARMONIA MUNDI ,SEBASTIEN DAUCE ,LE CONCERT ROYAL DE LA NUIT ,CD ,35000.0,28/05/15
HARMONIA MUNDI ,SUNHAE IM ,ORFEO(S) ,CD ,10000.0,02/04/15
HARMONIA MUNDI ,TRIO WANDERER ,QUATUORS AVEC PIANO OP 60 ,CD ,8000.0,05/11/15
HARMONIA MUNDI ,WEI WU ,OVERTONES ,CD ,3000.0,05/11/15
HARMONIA MUNDI ,WERNER GURA ,LIEDER & BAGATELLES ,CD ,4000.0,28/05/15
HARMONIA MUNDI ,ALAN STIVELL ,AMZER ,PM ,12000.0,17/12/15
HARMONIA MUNDI ,ISABELLE FAUST ,CONCERTO POUR VIOLON ,PM ,7000.0,02/04/15
HARMONIA MUNDI ,ALEJANDRA RIBERA ,LA BOCA ,SALLE ,1920.0,29/09/15
HARMONIA MUNDI ,ANTONIO ZAMBUJO ,RUA DA EMENDA ,SALLE ,6160.0,20/01/15
HARMONIA MUNDI ,HAROLD LOPEZ NUSSA ET ALIOUNE ,HAVANA PARIS DAKAR ,SALLE ,1680.0,05/05/15
HARMONIA MUNDI ,OMAR SOSA ,ILE ,SALLE ,1920.0,10/03/15
HEAD BANGERS ENTERTAINMENT ,BREAKBOT ,STILL WATERS ,CD ,15000.0,17/12/15
HEAD BANGERS ENTERTAINMENT ,BREAKBOT ,GET LOST ,VM ,8000.0,17/12/15
HEAD BANGERS ENTERTAINMENT ,BREAKBOT ,TOO GOOD FOR ME ,VM ,8000.0,17/12/15
HEAD RECORDS ,PNEU ,LAISSE PAS TRAINER TON CHARLES ,VM ,2000.0,17/12/15
HIT SOUND PROD ,SHALYA ,BOOM LIKE THIS ,VM ,2000.0,09/07/15
HOLD ON MUSIC ,PARLOR SNAKES ,PARLOR SNAKES ,SALLE ,1800.0,26/03/15
HOLD ON MUSIC ,PARLOR SNAKES ,MAN IS THE NIGHT ,VM ,2000.0,17/09/15
I HAVE A DREAM RECORDS ,SUBVENTION 2014 ,,MUZICENTER ,520.0,16/02/15
IGLOO RECORDS ,TOINE THYS TRIO ,GRIZZLY ,SALLE ,1200.0,17/03/15
IGNATUB ,IGNATUS ET LES FRERES MAKOUAYA ,"ET COMMENT VOUS FAITES, CHEZ VOUS ? ",Formation ,1650.0,09/02/15
IL MONSTRO ,CHRISTIAN PABOEUF ,L’AURORE ,CD ,1000.0,05/11/15
INH ICH PROD ,SUBVENTION 2014 ,,MUZICENTER ,147.5,16/02/15
INNACOR (TON ALL PRODUKSION) ,KEYVAN CHEMIRANI ,AVAZ ,SALLE ,1200.0,25/02/15
INTERLUDES ,JEWEL ,LA RAGE AU VENTRE ,SALLE ,1920.0,16/11/15
IRFAN ,FREDERIC FROMET ,CA FROMET ,CD ,5000.0,17/09/15
JARRING EFFECTS ,BRAIN DAMAGE ,HARRY J VOCAL SESSIONS ,CD ,5000.0,28/05/15
JARRING EFFECTS ,D LIGHTS ,THE D. LIGHTS ,CD ,5000.0,10/02/15
JARRING EFFECTS HIGH TONE ,,GHOSTS TRACKS ,CD ,2000.0,10/02/15
JARRING EFFECTS MIDNIGHT RAVERS ,,BALANI SHOWS ,CD ,5000.0,28/05/15
JARRING EFFECTS SOCIEDADE RECREATIVA ,,SOCIEDADE RECREATIVA ,CD ,4000.0,17/09/15
JARRING EFFECTS BRAIN DAMAGE ,,WALK THE WALK ,SALLE ,2000.0,24/08/15
JARRING EFFECTS BRAIN DAMAGE ,,WALK THE WALK ,TS ,3000.0,17/09/15
JARRING EFFECTS D LIGHTS ,,D LIGHTS ,TS ,3000.0,17/09/15
JARRING EFFECTS MIDNIGHT RAVERS ,,SOU KONO ,TS ,4000.0,05/11/15
JARRING EFFECTS BRAIN DAMAGE ,,FYAH BUN FEAT WILLI WILLIAMS ,VM ,3000.0,17/09/15
JARRING EFFECTS D LIGHTS ,,HEAT ROCK ,VM ,1000.0,05/11/15
JARRING EFFECTS MIDNIGHT RAVERS ,,DIARABI ,VM ,2000.0,09/07/15
JARRING EFFECTS SOCIEDADE RECREATIVA ,,BOA NOITE ,VM ,1000.0,17/12/15
JN2B TIGERSUSHI GUILLAUME TEYSSIER ,,PARIS VORTEZ ,CD ,3000.0,17/09/15
JN2B TIGERSUSHI MAESTRO ,,MOUNTAINS OF MADNESS ,Formation ,1650.0,07/07/15
JN2B TIGERSUSHI MAESTRO ,,MOUNTAINS OF MADNESS ,Formation ,1650.0,07/07/15
JN2B TIGERSUSHI GUILLAUME TEYSSIER ,,VORTEX DISCO ,VM ,3000.0,17/09/15
JN2B TIGERSUSHI MAESTRO ,,DARLIN’ CELSA ,VM ,2000.0,02/04/15
JN2B TIGERSUSHI PRINCIPLES OF GEOMETRY ,,ROANOKE ,VM ,1000.0,09/07/15
JO AND CO AMALIA CASADO ,,TEXTURE ,CD ,15000.0,28/05/15
JO AND CO CAROLINE COSTA ,,TBC ,CD ,15000.0,28/05/15
JO AND CO JOHN MAMANN ,,CYCLONE ,CD ,15000.0,17/12/15
JO AND CO THE KING S SON ,,THE KING’S SON ,CD ,15000.0,28/05/15
JO AND CO CANTINERO ,,CANTINERO EP ,PM ,10000.0,10/02/15
JO AND CO GREG JUNE ,,ONE ,PM ,10000.0,05/11/15
JO AND CO THE KING S SON ,,THE KING’S SON ,PM ,15000.0,28/05/15
JO AND CO AMALIA CASADO ,,LES BAGUES AUTOUR DES DOIGTS ,VM ,1000.0,09/07/15
JO AND CO AMALIA CASADO ,,DISPARAIS ,VM ,1000.0,17/09/15
JO AND CO BLUE VELVET ,,GALAXY ,VM ,2000.0,05/11/15
JO AND CO BLUE VELVET - CAROLINE COSTA ,,BLUE ,VM ,2000.0,02/04/15
JO AND CO BRICE CONRAD ,,A TORD OU A RAISON ,VM ,6000.0,02/04/15
JO AND CO BRICE CONRAD ,,ETERNELLE ,VM ,8000.0,10/02/15
JO AND CO DOUTSON ,,VAS-Y FONCE ,VM ,5000.0,02/04/15
JO AND CO ELISA TOVATI ,,ME & MY ROBOT ,VM ,5000.0,17/12/15
JO AND CO GLORY ,,HOLD-UP ,VM ,2000.0,09/07/15
JO AND CO GREG JUNE ,,WE CAN NEVER TALK ,VM ,5000.0,28/05/15
JO AND CO ORTI ,,JE POETISE (anciennement LA CRISE) ,VM ,2000.0,02/04/15
JO AND CO THE KING S SON ,,I M NOT RICH ,VM ,7000.0,10/02/15
JO AND CO THE KING S SON ,,LOVE IN THE AIR ,VM ,9000.0,28/05/15
JOHNNY WILLIAMS SON LENA DELUXE ,,KILL THE KING ,VM ,4000.0,05/11/15
JOKE JOKE ,,LAVOBLASTER ,SALLE ,2000.0,10/04/15
JUST LOOKING PRODUCTIONS ELLE ET ELLES ,,KALENDA ,CD ,5000.0,09/07/15
JUST LOOKING PRODUCTIONS MEDERIC COLLIGNON ,,MOOVIES ,CD ,4000.0,28/05/15
JUST LOOKING PRODUCTIONS ELLE ET ELLES ,,PALOMA ,VM ,3000.0,17/12/15
JUST WINNER L J ,,ESSENTIEL ,CD ,3000.0,17/12/15
JUST WINNER STONE WARLEY ,,LE MONDE EST STONE ,CD ,5000.0,17/12/15
JUST WINNER L J ,,JE VAIS TE PECHO ,VM ,3000.0,17/12/15
JUST WINNER STONE WARLEY ,,PRENDS POUR TOI ,VM ,3000.0,17/12/15
KAA PRODUCTION SUBVENTION 2014 ,,,MUZICENTER ,642.5,16/02/15
KALMIA PRODUCTIONS LIZ CHERHAL ,,LES SURVIVANTES ,PM ,3000.0,02/04/15
KALMIA PRODUCTIONS LIZ CHERHAL ,,TU M EPATES ,VM ,1000.0,09/07/15
KALMIA PRODUCTIONS LIZ CHERHAL ,,LES HEURES EN OR ,VM ,2000.0,02/04/15
KATZELE PRODUCTION ROSE LAURENS ,,ADN ,SALLE ,3120.0,04/11/15
KELTIA III ALAN STIVELL ,,AMZER ,CD ,5000.0,28/05/15
KIDDERMINSTER COMING SOON ,,SUN GETS IN ,CD ,3000.0,09/07/15
KIDDERMINSTER COMING SOON ,,TIGER MEETS LION ,PM ,4000.0,10/02/15
KIDDERMINSTER COMING SOON ,,SUN GETS IN ,VM ,3000.0,28/05/15
KIDDERMINSTER DOM LA NENA ,,VIVO NA MARE ,VM ,6000.0,10/02/15
KUSKUS HOUSSE DE RACKET ,,THE TOURIST ,CD ,4000.0,17/09/15
L HALLALI PRODUCTION DAVID DELABROSSE ,,EGO LE CACHALOT SE LA RACONTE ,CD ,2000.0,28/05/15
L OCEAN NOMADE TOMA SIDIBE ,,BAL POUSSIERE ,SALLE ,1600.0,16/11/15
L OCEAN NOMADE TOMA SIDIBE ,,AFRO PICARD ,VM ,2000.0,17/12/15
LA FABRICA SON PIERRE DE TREGOMAIN QUARTET ,,SHELTER ,SALLE ,1200.0,11/02/15
LA FABRICA SON SEBASTIEN PAINDESTRE TRIO ,,PARIS,SALLE ,1200.0,16/11/15
LA FONDATION LA BORIE EN LIMOU CLAUDE BARTHELEMY ET L’OCCIDENTALE ,,CLAUDE BARTHELEMY ET L’OCCIDENTALE ,SALLE ,960.0,20/02/15
LA FONDATION LA BORIE EN LIMOU CLAUDE BARTHELEMY ET L’OCCIDENTALE ,,CLAUDE BARTHELEMY ET L’OCCIDENTALE ,SALLE ,1680.0,14/01/15
LA FONDATION LA BORIE EN LIMOU PASCAL SCHUMACHER QUARTET ,,LEFT TOKYO RIGHT ,SALLE ,1200.0,02/03/15
LA OUACHE PRODUCTION MATMATAH ,,TRICERATOPS ,VM ,3000.0,28/05/15
LA THEORIE DES JEUX ENSEMBLE ILLAPS ,,REELS ,SALLE ,960.0,20/02/15
LA TRIPERIE DAVID LAFORE ,,J’AI L’AMOUR ,SALLE ,2000.0,24/08/15
LAURENT DAUMAIL PRODUCTIONS DJ CAM ,,MIAMI VICE ,CD ,3000.0,02/04/15
LE CAFE DE LA DANSE CARAVAN PALACE ,,<|°_°|> ,CD ,15000.0,17/09/15
LE GRAND ORCHESTRE DU SPLENDID GRAND ORCHESTRE DU SPLENDID ,,LES ANNEES SPLENDID - SAISON 1 ,CD ,9000.0,28/05/15
LE GUICHET PRODUCTION LARTIGO ,,HIPSTER PATOIS ,CD ,2000.0,02/04/15
LE GUICHET PRODUCTION LARTIGO ,,HIPSTER PATOIS ,Formation ,1650.0,03/06/15
LE GUICHET PRODUCTION LARTIGO ,,HIPSTER PATOIS ,SALLE ,1600.0,24/08/15
LE SPHINX DAVID CALVET KAJDAN ,,ONOFF ,SALLE ,1680.0,29/09/15
LES CHANTIERS SONORES L ATTIRAIL ,,LA ROUTE INTERIEURE ,SALLE ,1200.0,07/04/15
LITTLE TRIBECA DUO MOSALINI - BOEGEHOLZ ,,DELTA Y MAR ,CD ,4000.0,05/11/15
LITTLE TRIBECA MAXENCE CYRIN ,,NOVO PIANO 2 ,CD ,3000.0,17/09/15
LITTLE TRIBECA OPHELIE GAILLARD - PULCINELLA ORCHESTRA ,,CARL PHILIPP EMANUEL BACH ,CD ,12000.0,17/12/15
LITTLE TRIBECA TASSIS CHRISTOYANNIS ,,INTEGRALES DES MELODIES DE LALO ,CD ,4000.0,17/09/15
LITTLE TRIBECA FRANCOIS CHAPLIN ,,SCHUBERT ,SALLE ,4960.0,02/03/15
LO JO LO’JO ,,310 LUNES ,PM ,4000.0,10/02/15
LOVARIUM PRODUCTION SUBVENTION 2014 ,,,MUZICENTER ,665.0,16/02/15
LOVARIUM PRODUCTION MICHAL KWIATKOWSKI ,,CHOPIN ETC ,SALLE ,1920.0,25/02/15
LOVARIUM PRODUCTION YSA FERRER ,,SANGUINE ,SALLE ,6160.0,08/01/15
LOVARIUM PRODUCTION ,YSA FERRER ,GOD SAVE THE QUEEN ,VM ,3000.0,02/04/15
LYPROD ,SUBVENTION 2014 ,,MUZICENTER ,525.0,16/02/15
M & R PRODUCTIONS ,SUBVENTION 2014 ,,MUZICENTER ,522.5,20/01/15
MADAME SAMBIN VERONIQUE ,VERONIQUE HERMANN SAMBIN ,BASALTE ,CD ,3000.0,02/04/15
MADAME SAMBIN VERONIQUE ,VERONIQUE HERMANN SAMBIN ,BASALTE ,SALLE ,1920.0,03/06/15
MADORO MUSIC ,BRUNO COULAIS ,BOF LES SAISONS ,CD ,5000.0,17/12/15
MAISON DE LA CULTURE D AMIENS ,HENRI TEXIER ,SKY DANCERS 6 ,CD ,4000.0,17/09/15
MAISON DE LA CULTURE D AMIENS ,THE RED STAR ORCHESTRA ,FEAT. THOMAS DE POURQUERY ,CD ,10000.0,02/04/15
MAISON DE LA CULTURE D AMIENS ,DAS KAPITAL ,KIND OF RED ,SALLE ,1200.0,03/12/15
MASQ ,ADELLA ,ADELLA EP ,Formation ,1650.0,20/02/15
MAXIMALIST RECORDS ,KID WISE ,MIROIR (HYPHEN HYPHEN REMIX) ,VM ,1000.0,17/09/15
MELISSE ,JEAN PHILIPPE VIRET ,L INEFFEBLE ,SALLE ,1920.0,13/02/15
MEREDITH ,MACHA GHARIBIAN ,TRANS EXTENDED ,CD ,2000.0,17/09/15
METEORES MUSIC ,SAYCET ,MIRAGE ,SALLE ,1800.0,17/02/15
METEORES MUSIC ,SAYCET ,MIRAGES ,VM ,2000.0,17/12/15
MIKHAIL TCHALIK/ALKONOST CLASS ,GABRIEL ET DANIA TCHALIK ,BORIS TISHCHENKO ,CD ,1000.0,02/04/15
MIRARE PRODUCTIONS ,PIERRE HANTAI ,SONATES POUR CLAVECIN-DOMENICO SCARLATTI ,CD ,3000.0,09/07/15
MIRARE PRODUCTIONS ,RAPHAEL SEVERE/QUATUOR PRAZAK ,BRAHMS-HINDEMITH-CLARINET QUINTETS ,CD ,2000.0,09/07/15
MIS ASSOCIES ,SWIFT GUAD ,A L AISE (FEAT JAROD) ,VM ,2000.0,17/12/15
MISTER IBE ,IBRAHIM MAALOUF ,RED & BLACK LIGHT ,CD ,25000.0,09/07/15
MISTER IBE ,NATACHA ATLAS ,MYRIAD ROAD ,CD ,10000.0,17/09/15
