Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
PLAY ON ,RAPHAEL ,EYES ON THE ISLAND ,VM ,18000.0,05/11/15
PLAY ON ,RAPHAEL ,SOMNAMBULE ,VM ,20000.0,10/02/15
PLAY ON ,ROLLON ,RUN AWAY ,VM ,10000.0,05/11/15
PLAY ON ,SHANIZ ,C’EST FINI ,VM ,13000.0,02/04/15
PLAY ON ,SLAI ,STOP ENCORE ,VM ,9000.0,28/05/15
PLAY ON ,VALENTIN MARCEAU ,TOUT LE CONTRAIRE ,VM ,10000.0,17/09/15
PLAY ON ,WILLY WILLIAM ,TE QUIERO ,VM ,10000.0,28/05/15
PLAY ON ,WILLY WILLIAM ,EGO ,VM ,14000.0,05/11/15
PLAY ON ,ZAK & DIEGO ,PAS DE SOUCIS ,VM ,8000.0,09/07/15
PLAY ON ,ZAK & DIEGO FEAT. SOPRANO ,MAMA ,VM ,9000.0,02/04/15
PLAY ON ,ZAZ ,SI JAMAIS J’OUBLIE ,VM ,7000.0,17/09/15
PLAY ON ,ZAZ ,SOUS LE CIEL DE PARIS ,VM ,15000.0,10/02/15
POLYCHRONE SAS ,TRIO ATLANTES ,VARIATIONS GOLDBERG ,CD ,2000.0,09/07/15
POP NOIRE ,LESCOP ,LE JEU ,CD ,20000.0,10/02/15
QUOI DE NEUF DOCTEUR ,SERGE ADAM/BENOIT DELBECQ/PHILIPPE FOCH ,LES AMANTS DE JULIETTES S’ELECTROLYSENT ,SALLE ,960.0,12/05/15
RAGEOT EDITEUR ,AIMEE DE LA SALLE ,LES TROIS PETITS COCHONS MOUSTACHUS ,CD ,2000.0,28/05/15
RAGEOT EDITEUR ,CECILE BERGAME/TIMOTHEE JOLY ,"HOP, DANS LA LUNE ! ",CD ,2000.0,05/11/15
RAGEOT EDITEUR ,PASCAL PARISOT ,CHAT CHAT CHAT ,CD ,5000.0,28/05/15
RAGEOT EDITEUR ,PIERRE DELYE ,SSI J TE MORDS T ES MORT ,CD ,3000.0,17/09/15
RAGEOT EDITEUR ,PASCAL PARISOT ,CHAT CHAT CHAT ,SALLE ,1920.0,24/08/15
RECORD MAKERS ,TURZI ,COLOMBE ,VM ,6000.0,02/04/15
REMOVE YA SOUND ,CITY KAY ,DAYSTAR ,PM ,2000.0,09/07/15
REMOVE YA SOUND ,CITY KAY ,DAYSTAR ,TS ,2000.0,17/09/15
REMOVE YA SOUND ,CITY KAY ,STRUCK YOU ,VM ,1000.0,17/09/15
ROSCIA RECORDS ,GLASGOW ,ANTHROPOCENE EPISODE 1 ,SALLE ,1800.0,19/10/15
ROSCIA RECORDS ,GLASGOW ,CONTRE LA MONTRE ,VM ,2000.0,05/11/15
SACRE CŒUR MUSIC ,EINLEIT ,LOVERS BE ALERT ,Formation ,1650.0,19/11/15
SACRE CŒUR MUSIC ,FACADES ,THOSE WHO CROSSED TERRITORIES ,SALLE ,1520.0,24/08/15
SCARLETT PRODUCTIONS EDITIONS ,MATT LOW ,BANZAI ,CD ,2500.0,17/09/15
SCORPIO MUSIC ,SUBVENTION 2014 ,,MUZICENTER ,5642.5,16/02/15
SCORPIO MUSIC ,DJ ASSAD FEAT LUYANNA ET JESSY MATADOR ,VENGA VENGA ,VM ,17000.0,17/09/15
SCORPIO MUSIC ,DJ ASSAD FEAT. GREG PARYS ,WE ARE ONE ,VM ,10000.0,02/04/15
SCORPIO MUSIC ,JACK PERRY ,DIME ,VM ,18000.0,17/09/15
SCORPIO MUSIC ,MAKASSY ,TANT QU ON RESPIRE ,VM ,4500.0,17/12/15
SCORPIO MUSIC ,MAKASSY ,SOLDAT ,VM ,9000.0,17/09/15
SCORPIO MUSIC ,MAKASSY ,DANSE DANSE DANSE ,VM ,11500.0,17/12/15
SIRVENTES ,DU BARTAS ,DU BARTAS 5EME ALBUM ,CD ,3000.0,05/11/15
SOSTENUTO ,PRESQUE OUI ,DE TOUTE EVIDENCE ,SALLE ,2240.0,04/05/15
SOULBEATS RECORDS ,LMK ,MUSICAL GARDEN ,Formation ,1650.0,01/12/15
SOULBEATS RECORDS ,SINSEMILIA ,UN AUTRE MONDE EST POSSIBLE ,PM ,8000.0,17/12/15
SOULBEATS RECORDS ,NAAMAN ,RAYS OF RESISTANCE ,SALLE ,6636.0,18/11/15
SOULBEATS RECORDS ,SINSEMILIA ,UN AUTRE MONDE EST POSSIBLE ,SALLE ,6160.0,18/11/15
SPACE PARTY ,SUBVENTION 2014 ,,MUZICENTER ,6932.5,06/03/15
SPACE PARTY ,DJ LBR FEAT MR VEGAS ET PAPA LONDON ,ADREANLINE RUSH ,VM ,3500.0,05/11/15
SPACE PARTY ,PAPA LONDON ,BLESSIN LOV ,VM ,3000.0,09/07/15
SPACE PARTY ,SANDY GROUND FACTORY ,LET’S GO TWERKING ,VM ,2000.0,02/04/15
STARDOWN ,ELECTRO DELUXE ,OPUS 5 - CIRCLE ,CD ,4000.0,17/12/15
STARDOWN ,ELECTRO DELUXE ,HOME TOUR 2015 ,TS ,5000.0,02/04/15
SUTHER KANE FILMS ,LINO ,REQUIEM ,SALLE ,6160.0,06/03/15
SUTHER KANE FILMS ,LEJ ,MASH UP HIP HOP ,VM ,2000.0,17/12/15
SUTHER KANE FILMS ,LEJ ,HANGING TREE ,VM ,6000.0,17/12/15
SUTHER KANE FILMS ,LEJ ,LA DALLE ,VM ,10000.0,17/12/15
SYNTHESE AUDIO ET CREATION ,ANDY EMLER MEGAOCTET ,OBSESSION 3 ,CD ,1000.0,09/07/15
SYNTHESE AUDIO ET CREATION ,BRUNO ANGELINI ,INSTANT SHARINGS ,CD ,2000.0,10/02/15
SYNTHESE AUDIO ET CREATION ,VINCENT COURTOIS ,WEST ,CD ,2000.0,10/02/15
SYNTHESE AUDIO ET CREATION ,BRUNO ANGELINI ,INSTANT SHARINGS ,SALLE ,960.0,03/06/15
TACET ,JEAN GUIDONI ,PARIS MILAN ,SALLE ,4640.0,22/01/15
TAKLIT ,"ZINA TAMIATTO, EMMANUELLE REMIRES, FRANCOIS MOREL ",UNE HISTOIRE D’AUCASSIN ET NICOLETTE ,CD ,2000.0,10/02/15
TEKINI RECORDS ,MANU ,LA VERITE ,CD ,2000.0,17/09/15
TEKINI RECORDS ,MANU ,TOI ET MOI ,VM ,2000.0,17/09/15
TER A TERRE ,THE INSPECTOR CLUZO ,ROCKFARMERS ,CD ,2000.0,05/11/15
TER A TERRE ,THE INSPECTOR CLUZO ,ROCKFARMERS TOUR ,TS ,4000.0,17/12/15
TF1 ENTREPRISES ,ANGGUN ,TOUJOURS UN AILLEURS ,CD ,25000.0,09/07/15
TF1 ENTREPRISES ,DAVIDE ESPOSITO ,ROMA CALIFORNIA ,CD ,30000.0,28/05/15
TF1 ENTREPRISES ,ANGGUN ,TOUJOURS UN AILLEIRS ,PM ,20000.0,17/12/15
TF1 ENTREPRISES ,DAVIDE ESPOSITO ,ROMA CALIFORNIA ,PM ,20000.0,17/09/15
TF1 ENTREPRISES ,FOREVER GENTLEMEN ,FOREVER GENTLEMEN - VOL 2 ,PM ,20000.0,10/02/15
TF1 ENTREPRISES ,THE KING S SON ,THE KING’S SON ,PM ,35000.0,05/11/15
TF1 ENTREPRISES ,DAVIDE ESPOSITO ,ROMA CALIFORNIA ,SALLE ,2240.0,08/12/15
TF1 ENTREPRISES ,ANGGUN ,NOS VIES PARALLELES ,VM ,15000.0,17/09/15
TF1 ENTREPRISES ,DAVIDE ESPOSITO ,OGGI PIOGGIA ,VM ,8000.0,09/07/15
TF1 ENTREPRISES ,DAVIDE ESPOSITO ,A CAVALLO DEL VENTO ,VM ,10000.0,28/05/15
TF1 ENTREPRISES ,FOREVER GENTLEMEN ,LES GRANDS BOULEVARDS ,VM ,10000.0,10/02/15
TF1 ENTREPRISES ,LES PRETRES ,L’HOMME EN BLANC ,VM ,8500.0,05/11/15
TF1 ENTREPRISES ,THE KING S SON ,EVERYDAY PEOPLE ,VM ,7000.0,09/07/15
TF1 ENTREPRISES ,VINCENT NICLO ,POUR UNE FOIS ,VM ,8000.0,02/04/15
TF1 ENTREPRISES ,VINCENT NICLO ,DIVINO ,VM ,15000.0,10/02/15
THE BACK OFFICE ,MATTHIAS ZIMMERMANN ,MATTHIAS ZIMMERMANN ,CD ,3000.0,17/09/15
THREE DYKES AND A HALF ,NOVA MATERIA ,CONTORSIONS ,CD ,7000.0,02/04/15
THREE DYKES AND A HALF ,C. A. R. ,LA PETITE FILLE DU TROISIEME ,VM ,8000.0,10/02/15
THREE DYKES AND A HALF ,IL EST VILAINE ,SURF RIDER ,VM ,5000.0,17/09/15
THREE DYKES AND A HALF ,NOVA MATERIA ,APARECE EN LOS SUENOS ,VM ,2000.0,02/04/15
TLF PRODUCTIONS ,TLF ,NO LIMIT ,CD ,8000.0,28/05/15
TLF PRODUCTIONS ,TLF FEAT. NASSI ,JE NE SUIS QU’UN HOMME ,VM ,4000.0,28/05/15
TRANSFUGES ,ANDROMAKERS ,ANTIQUES ,CD ,2000.0,02/04/15
TRANSFUGES ,ANDROMAKERS ,EVEREST ,VM ,2000.0,17/12/15
TRAQUENARD PRODUCTION ,FAUT QU CA GUINCHE ,MOTS MELES ,SALLE ,876.0,19/02/15
TREPAN RECORDS ,ONE WAY MIRROR ,WARNINGS ,VM ,1500.0,17/09/15
TZIG ART ,CLOTILDE ,XX ,CD ,1000.0,17/12/15
UNDERDOG RECORDS ,SUBVENTION 2014 ,,MUZICENTER ,1395.0,16/02/15
UNDERDOG RECORDS ,CONGOPUNG ,NO GUNS MORE DRUMS ,PM ,3000.0,10/02/15
UNDERDOG RECORDS ,DAFUNIKS ,PAST PRESENT FUTURE ,PM ,3000.0,17/12/15
UNDERDOG RECORDS ,D BANGERZ ,HIP-HOP CENTIPEDE ,SALLE ,1760.0,30/03/15
UNDERDOG RECORDS ,DAFUNIKS ,PAST PRESENT FUTURE ,SALLE ,2000.0,10/03/15
UNIVERSEUL ,ODEZENNE ,DOLZIGER STR 2 ,CD ,20000.0,05/11/15
UPTON PARK PUBLISHING ,THOMAS HOWARD MEMORIAL ,BAD THINGS ,VM ,5000.0,09/07/15
VAI LA BOTT ,SISKA ,BADLY ,VM ,2000.0,05/11/15
VELVET COLISEUM ,COLOURS IN THE STREET ,THE GODS OF WONDER ,VM ,1000.0,17/12/15
VERONE PRODUCTIONS ,LES MAUVAISES LANGUES ,PORCELAINE ,SALLE ,640.0,04/06/15
VERSATILE ,THE EXPLOSIONS ,THE EXPLOSIONS (TBC) ,CD ,4000.0,28/05/15
VERY GOOD TEAM ,SUBVENTION 2014 ,,MUZICENTER ,317.5,25/02/15
VF MUSIQUES (TOT OU TARD) ,L - RAPHAELE LANNADERE ,L - ECLIPSE ,CD ,29000.0,02/04/15
VF MUSIQUES (TOT OU TARD) ,NICOLAS MICHAUX ,NOUVEAU DEPART ,CD ,24000.0,17/12/15
VF MUSIQUES (TOT OU TARD) ,SUBVENTION 2014 ,,MUZICENTER ,2620.0,09/01/15
VF MUSIQUES (TOT OU TARD) ,LUCE ,CHAUD ,PM ,7000.0,09/07/15
VF MUSIQUES (TOT OU TARD) ,SHAKA PONK ,THE BLACK PIXEL APE ,PM ,25000.0,10/02/15
VF MUSIQUES (TOT OU TARD) ,VIANNEY ,IDEES BLANCHES ,PM ,35000.0,02/04/15
VF MUSIQUES (TOT OU TARD) ,YAEL NAIM ,OLDER ,PM ,30000.0,09/07/15
VF MUSIQUES (TOT OU TARD) ,VIANNEY ,IDEES BLANCHES ,SALLE ,1920.0,22/01/15
VF MUSIQUES (TOT OU TARD) ,VIANNEY ,IDEES BLANCHES ,TS ,17000.0,28/05/15
VF MUSIQUES (TOT OU TARD) ,CATS ON TREES & CALOGERO ,JIMMY ,VM ,11000.0,28/05/15
VF MUSIQUES (TOT OU TARD) ,L - RAPHAELE LANNADERE ,J’ACCELERE ,VM ,7000.0,05/11/15
VF MUSIQUES (TOT OU TARD) ,LUCE ,POLKA ,VM ,5000.0,10/02/15
VF MUSIQUES (TOT OU TARD) ,LUCE ,MALIBU ,VM ,6000.0,02/04/15
VF MUSIQUES (TOT OU TARD) ,ODEZENNE ,CABRIOLET ,VM ,7000.0,05/11/15
VF MUSIQUES (TOT OU TARD) ,ODEZENNE ,VILAINE ,VM ,10000.0,17/09/15
VF MUSIQUES (TOT OU TARD) ,ODEZENNE ,BOUCHE A LEVRES ,VM ,17000.0,17/09/15
VF MUSIQUES (TOT OU TARD) ,VIANNEY ,VERONICA ,VM ,12000.0,28/05/15
VF MUSIQUES (TOT OU TARD) ,YAEL NAIM ,DREAM IN MY HAND ,VM ,7000.0,10/02/15
VICTORIE MUSIC ,ALAIN SCHNEIDER ,AUX ANTIPODES ,CD ,8000.0,17/12/15
VICTORIE MUSIC ,JACQUES HAUROGNE ,OH LES PIEDS ! ,CD ,3500.0,17/12/15
VICTORIE MUSIC ,JACQUES HAUROGNE ,OH LES MAINS ! ,CD ,6000.0,02/04/15
VICTORIE MUSIC ,SOPHIE FORTE ,JE DEMENAGE ,CD ,6000.0,09/07/15
VICTORIE MUSIC ,STEVE WARING ,ANAE ,CD ,4000.0,28/05/15
VICTORIE MUSIC ,JACQUES HAUROGNE ,OH LES MAINS ! ,VM ,9000.0,02/04/15
VIETNAM SARL ,51 BLACK SUPER ,51 BLACK SUPER ,CD ,2000.0,02/04/15
VIETNAM SARL ,PHARAON DE WINTER ,PHARAON DE WINTER ,CD ,5000.0,28/05/15
VIETNAM SARL ,H BURNS ,NIGHT MOVES ,SALLE ,2000.0,25/02/15
VIETNAM SARL ,H BURNS ,NIGHT MOVES ,VM ,2000.0,02/04/15
VIETNAM SARL ,PHARAON DE WINTER ,ULTRAMARINE ,VM ,2000.0,05/11/15
VIETNAM SARL ,PHARAON DE WINTER ,POINTILLISME ,VM ,3000.0,28/05/15
VOLVOX MUSIC ,PSYCHO MUTANTS ,BABY BURN ,SALLE ,1800.0,06/03/15
WAGRAM MUSIC ,BEL PLAINE ,BEL PLAINE (tbc) ,CD ,20000.0,10/02/15
WAGRAM MUSIC ,BERTRAND BELIN ,ALBUM 5 - CAP WALLER ,CD ,22000.0,09/07/15
WAGRAM MUSIC ,CASSEURS FLOWTERS ,COMMENT C’EST LOIN ,CD ,25000.0,05/11/15
WAGRAM MUSIC ,DIESELLE ,DIESELLE (tbc) ,CD ,23000.0,02/04/15
WAGRAM MUSIC ,HAZERKA ,POUR UN AUTRE ,CD ,4000.0,05/11/15
WAGRAM MUSIC ,LAS AVES ,LAS AVES (tbc) ,CD ,20000.0,10/02/15
WAGRAM MUSIC ,LUIDJI ,PARISIEN ,CD ,6000.0,17/09/15
WAGRAM MUSIC ,MAISSIAT ,ALBUM 2 (tbc) ,CD ,22000.0,02/04/15
WAGRAM MUSIC ,RIDSA ,TRANQUILLE ,CD ,35000.0,05/11/15
WAGRAM MUSIC ,SOOM T ,FREE AS A BIRD ,CD ,24000.0,17/09/15
WAGRAM MUSIC ,SOVIET SUPREM ,L’INTERNATIONALE - BONUS EDITION ,CD ,3000.0,02/04/15
WAGRAM MUSIC ,TOM FIRE ,LOW FIDELITY ,CD ,8000.0,10/02/15
WAGRAM MUSIC ,YVES JAMAIT ,JE ME SOUVIENS ,CD ,25000.0,28/05/15
WAGRAM MUSIC ,HAZERKA ,ALBUM 1 ,Formation ,1500.0,24/09/15
WAGRAM MUSIC ,SUBVENTION 2014 ,,MUZICENTER ,7572.5,16/02/15
WAGRAM MUSIC ,AARON ,WE CUT THE NIGHT ,PM ,35000.0,17/12/15
WAGRAM MUSIC ,ALPHA BLONDY ,POSITIVE ENERGY ,PM ,15000.0,17/09/15
WAGRAM MUSIC ,BIGA RANX ,NIGHTBIRD ,PM ,20000.0,17/09/15
WAGRAM MUSIC ,CHEIKH LO ,BALBALOU ,PM ,15000.0,05/11/15
WAGRAM MUSIC ,DOMINIQUE A ,ELEOR ,PM ,35000.0,17/09/15
WAGRAM MUSIC ,ZOUFRIS MARACAS ,CHIENNE DE VIE ,PM ,18000.0,17/12/15
WAGRAM MUSIC ,BERTRAND BELIN ,CAP WALLER ,SALLE ,6636.0,07/12/15
WAGRAM MUSIC ,GENERAL ELEKTRIKS ,TBC ,SALLE ,6636.0,18/11/15
WAGRAM MUSIC ,TOM FIRE ,LOW FIDELITY ,SALLE ,2000.0,24/08/15
WAGRAM MUSIC ,AARON ,WE CUT THE NIGHT ,TS ,7000.0,17/09/15
WAGRAM MUSIC ,BERTRAND BELIN ,CAP WALLER ,TS ,10000.0,05/11/15
WAGRAM MUSIC ,BIGA RANX ,NIGHT BIRD ,TS ,6000.0,10/02/15
WAGRAM MUSIC ,DOMINIQUE A ,ELEOR ,TS ,7000.0,05/11/15
WAGRAM MUSIC ,ROVER ,LET IT GLOW ,TS ,20000.0,17/12/15
WAGRAM MUSIC ,TOM FIRE ,LOW FIDELITY - TOUR 2015-2016 ,TS ,5000.0,17/12/15
WAGRAM MUSIC ,ZOUFRIS MARACAS ,CHIENNE DE VIE ,TS ,5000.0,09/07/15
WAGRAM MUSIC ,AARON ,ONASIS ,VM ,15000.0,28/05/15
WAGRAM MUSIC ,AARON ,LEFTOVERS ,VM ,15000.0,28/05/15
WAGRAM MUSIC ,ALPHA BLONDY ,NO BRAIN NO HEADACHE ,VM ,4000.0,28/05/15
WAGRAM MUSIC ,ARKADIN ,SOUS LE VOLCAN ,VM ,6000.0,17/12/15
WAGRAM MUSIC ,BEL PLAINE ,LIFE BOAT ,VM ,9000.0,17/09/15
WAGRAM MUSIC ,BERTRAND BELIN ,JE PARLE EN FOU ,VM ,7000.0,17/09/15
WAGRAM MUSIC ,BIGA RANX ,DJ FOR THE NIGHT/DOUBLE TROUBLE ,VM ,3000.0,28/05/15
WAGRAM MUSIC ,BIGA RANX ,SEXY FEAT. BIG RED ,VM ,8000.0,28/05/15
WAGRAM MUSIC ,CARAVAN PALACE ,COMICS ,VM ,8000.0,09/07/15
WAGRAM MUSIC ,CARAVAN PALACE ,LONE DIGGER ,VM ,8000.0,17/12/15
WAGRAM MUSIC ,CASSEURS FLOWTERS ,A L HEURE OU JE ME COUCHE ,VM ,8000.0,17/12/15
WAGRAM MUSIC ,CHEIKH LO ,DEGG GUI ,VM ,5000.0,02/04/15
WAGRAM MUSIC ,CORNEILLE ,CE RECIT ,VM ,5000.0,10/02/15
WAGRAM MUSIC ,DIESELLE ,KANYELELE FEAT KAY FIGO ,VM ,4000.0,17/12/15
WAGRAM MUSIC ,DIESELLE ,DJ ,VM ,8000.0,09/07/15
WAGRAM MUSIC ,DOMINIQUE A ,AU REVOIR MON AMOUR ,VM ,7000.0,10/02/15
WAGRAM MUSIC ,GENERAL ELEKTRIKS ,ANGLE BOOGIE ,VM ,6000.0,17/12/15
WAGRAM MUSIC ,GENERAL ELEKTRIKS ,WHISPER TO ME ,VM ,14000.0,05/11/15
WAGRAM MUSIC ,JESSY MATADOR ,ZULUMINATI ,VM ,4000.0,10/02/15
WAGRAM MUSIC ,JSK FEAT TITO PRINCE ,DANSER SUR LE MONDE ,VM ,3000.0,10/02/15
WAGRAM MUSIC ,LAS AVES ,LOS ANGELERS ,VM ,5000.0,10/02/15
WAGRAM MUSIC ,LAS AVES ,GASOLINE ,VM ,10000.0,02/04/15
WAGRAM MUSIC ,LOGOBI GT ,MARIE DO (FEAT FALLY IPUPA) ,VM ,4000.0,10/02/15
WAGRAM MUSIC ,RIDSA ,LA C’EST DIE ,VM ,4000.0,05/11/15
WAGRAM MUSIC ,ROVER ,CALL MY NAME ,VM ,10000.0,05/11/15
WAGRAM MUSIC ,SOOM T ,HARD TIME ,VM ,10000.0,17/12/15
WAGRAM MUSIC ,SOOM T ,BROKEN ROBOTS ,VM ,14000.0,05/11/15
WAGRAM MUSIC ,THE DO ,TRUSTFUL HANDS ,VM ,10000.0,05/11/15
WAGRAM MUSIC ,THE DO ,ANITA NO ,VM ,14000.0,17/12/15
WAGRAM MUSIC ,TOM FIRE ,TAKE A WALK (FEAT. SOOM T) ,VM ,14000.0,09/07/15
WEDGE ,IMARHAN ,IMARHAN ,CD ,6000.0,05/11/15
WEDGE ,TINARIWEN ,YOUF EHAKET ,CD ,15000.0,02/04/15
WEDGE ,IMARHAN ,TARHA TADAGH ,VM ,2000.0,05/11/15
X RAY PRODUCTION ,BIGA RANX ,NIGHT BIRD ,CD ,6000.0,10/02/15
X RAY PRODUCTION ,JANICE IN THE NOISE ,SLEEPING WITH ,CD ,2000.0,28/05/15
X RAY PRODUCTION ,KIZ ,KIZ ,Formation ,1650.0,21/10/15
X RAY PRODUCTION ,JANICE IN THE NOISE ,LP1 ,SALLE ,2000.0,24/08/15
X RAY PRODUCTION ,BIG RED ,CROSS BREED TOUR ,TS ,2000.0,10/02/15
XIII BIS MUSIC ,JIA RUHAN ,RENDEZ VOUS ,CD ,3000.0,09/07/15
XIII BIS MUSIC ,THE GIPSY S ,ASIAN ENCUENTROS ,CD ,4000.0,17/12/15
XIII BIS MUSIC ,JIA RUHAN ,WELCOME HOME ,VM ,1000.0,09/07/15
XIII BIS MUSIC ,THE GIPSY S ,LA CAMARGUE ,VM ,1000.0,17/12/15
YANIS RECORDS ,HAPPY FAMILY ,FUNKY TOWN ,VM ,5000.0,05/11/15
YANIS RECORDS ,SUPERFUNK ET RONNCARROLL ,GIRL IT’S TRUE ,VM ,8000.0,05/11/15
YOTANKA PRODUCTIONS ,ARM / TEPR ,PSAUMES ,CD ,4500.0,17/12/15
YOTANKA PRODUCTIONS ,OH MORICE ,EN COURS ,CD ,3000.0,28/05/15
YOTANKA PRODUCTIONS ,ROBERT LE MAGNIFIQUE ,FUCK THE HELL YEAH !!! ,CD ,3000.0,09/07/15
YOTANKA PRODUCTIONS ,KID FRANCESCOLI ,WITH JULIA ,Formation ,1650.0,03/06/15
YOTANKA PRODUCTIONS ,KID FRANCESCOLI ,WITH JULIA ,PM ,3000.0,10/02/15
YOTANKA PRODUCTIONS ,PUTS MARIE ,MASOCH I-II ,PM ,4000.0,05/11/15
YOTANKA PRODUCTIONS ,KID FRANCESCOLI ,WITH JULIA ,SALLE ,1760.0,06/03/15
YOTANKA PRODUCTIONS ,ZENZILE ,BERLIN ,SALLE ,1920.0,24/08/15
YOTANKA PRODUCTIONS ,PUTS MARIE ,MASOCH I II ,TS ,2000.0,05/11/15
YOTANKA PRODUCTIONS ,KID FRANCESCOLI ,DOES SHE ? ,VM ,5000.0,10/02/15
YOTANKA PRODUCTIONS ,SAMBA DE LA MUERTE ,YOU NEVER KNOW WHEN I LIE ,VM ,3500.0,17/12/15
YOTANKA PRODUCTIONS ,VON PARIAHS ,BIKE CRASH ,VM ,4000.0,17/12/15
YOUZ ,TELDEM COM’UNITY ,INSTANT MIND BLOW ,CD ,2000.0,17/12/15
YOUZ ,ILTIKA ,HYBRIDE ,SALLE ,1680.0,10/04/15
YOUZ ,TELDEM COM’UNITY ,ENTERTAINMENT ,VM ,1000.0,17/12/15
ZZ PRODUCTIONS ,TRIO NOUVEAUX SIECLES ,A LA MANIÈRE DE CHICAGO ,CD ,2000.0,05/11/15
ZZ PRODUCTIONS ,LOU MARCO ,SOUS LA PEAU ,Formation ,1650.0,24/03/15
ZZ PRODUCTIONS ,SUBVENTION 2014 ,,MUZICENTER ,1262.5,16/02/15
ZZ PRODUCTIONS ,DJAZIA SATOUR ,ALWANE ,PM ,4000.0,10/02/15
